category,question,optionA,optionB,optionC,optionD,correct,image,explanation
Flight Plan,"On a given path,it is possible to chose between four flight levels (FL),each associated with a mandatory flight Mach number (M). The flight conditions,static air temperature (SAT) and headwind component (HWC) are given below:<br><br>FL370 M 0.80 Ts: -60°C HWC: 15 kts<br>FL330 M 0.78 Ts: -60°C HWC: 5 kts<br>FL290 M 0.80 Ts: -55°C HWC: 15 kts<br>FL270 M 0.76 Ts: -43°C HWC: 0 kts<br><br>The flight level allowing the highest ground speed is:",FL370,FL330,FL290,FL270,4,,
Flight Plan,"On IFR navigation chart,in a 1° quadrant of longitude and latitude,appears the following information: ""80"". This means that within this quadrant:",the minimum flight level is FL80.,the floor of the airway is at 8 000 ft.,the altitude of the highest obstacle is 8 000 ft.,the minimum safe altitude is 8 000 ft.,4,,
Flight Plan,An airway is marked 5000 2900a. The notation 5000 is the:,minimum holding altitude (MHA).,maximum authorised altitude (MAA).,minimum enroute altitude (MEA).,base of the airway (AGL).,3,,
Flight Plan,During a flight at night a position has to be reported to ATC. The aeroplane is at a distance of 750 NM from the ground station and at flight level 350. The frequency to be used is:,17 286 kHz,123.9 MHz,5 649 kHz,1 136 kHz,3,,
Flight Plan,"You must fly IFR on an airway orientated 135° magnetic with a MSA at 7800 ft. Knowing the QNH is 1025 hPa and the temperature is ISA + 10°,the minimum flight level you must fly at is:",80,75,70,90,4,,
Flight Plan,Given:<br><br>Minimum safe altitude: 8 500 ft<br>QNH at the station 1 003 hPa (elevation 4 000 ft)<br>Temperature at FL85 -20°C<br><br>What is the minimum pressure altitude which should be flown according to the given MSA?,8 550 ft,9 150 ft,9 350 ft,8 850 ft,2,,
Flight Plan,"An airway is marked ""FL80 1500a"". This indicates that:",the minimum enroute altitude (MEA) is FL80.,the airways extend from 1 500 ft MSL to FL80.,1 500 ft MSL is the minimum radio reception altitude (MRA).,the airway base is 1 500 ft MSL.,1,,
Flight Plan,"An IFR flight is planned outside airways on a course of 235° magnetic. The minimum safe altitude is 7 800 ft. Knowing the QNH is 995 hPa and temperature ISA,the minimum flight level you must fly is:",85,80,100,90,3,,
Flight Plan,During a VFR flight at a navigational checkpoint the remaining usable fuel in the tanks is 60 US gallons. The reserve fuel is 12 US gallons. According to the flight plan the remaining flight time is 1h 35min. Calculate the highest acceptable rate of consumption possible for the rest of the trip.,33.0 USG/hr,21.3 USG/hr,37.9 USG/hr,30.3 USG/hr,4,,
Flight Plan,A pilot has planned a flight but the destination reports a weather phenomenon which induced the pilot to update his/her the fuel log. Which of the following phenomena does this refer to (most likely)?,Recent rain showers.,Recent snow showers.,Shallow fog.,Haze or mist.,3,,
Flight Plan,"Ignoring all fuel reserves,how much fuel is needed to cover a distance of 360 NM,if the fuel consumption of the aeroplane is 300 l/h? (Note: consider a TAS of 210 kts and a headwind component of 30 kts)",900 litres,515 litres,600 litres,450 litres,3,,
Flight Plan,"When calculating the fuel required to carry out a given flight,one must take into account:<br>1) the wind.<br>2) foreseeable airborne delays.<br>3) other weather forecasts.<br>4) any foreseeable conditions which may delay landing.<br>The combination which provides the correct statement is:","2,4","1,2,3","1,3","1,2,3,4",4,,
Flight Plan,"The fuel burn of an aircraft turbine engine is 220 l/hr with a fuel density of 0.80. If the density is 0.75,the fuel burn will be:",206 l/hr,235 l/hr,176 l/hr,220 l/hr,2,,
Flight Plan,"The fuel burn-off is 200 kg/hr with a relative fuel density of 0.8. If the relative fuel density is 0.75,the fuel burn will be:",213 kg/hr,267 kg/hr,188 kg/hr,200 kg/hr,4,,
Flight Plan,Given the following data determine the maximum possible take-off fuel:<br><br>Fuel density: 0.78 kg/l<br>Dry Operating Mass: 33 500 kg<br>Traffic Load: 10 600 kg<br>Maximum Allowable Take-off Mass: 66 200 kg<br>Taxi Fuel: 200 kg<br>Tank capacity: 22 500 litres,22 300 kg,17 350 kg,22 100 kg,17 550 kg,2,,
Flight Plan,"Planning a flight from Paris (Charles de Gaulle) to London (Heathrow) for a twin-jet aeroplane,with the following pre-planning data:<br><br>Maximum Take-off Mass: 62 800 kg<br>Maximum Zero Fuel Mass: 51 250 kg<br>Maximum Landing Mass: 54 900 kg<br>Maximum Taxi Mass: 63 050 kg<br><br>Assume the following pre-planning results:<br>Trip Fuel: 1 800 kg<br>Alternate fuel: 1 400 kg<br>Holding fuel (final reserve): 1 225 kg<br>Contingency (5% of trip fuel): 90 kg<br>Dry Operating Mass: 34 000 kg<br>Traffic Load: 13 000 kg<br>Catering: 750 kg<br>Baggage: 3 500 kg<br><br>Find the Take-off Mass (TOM):",51 515 kg,51 425 kg,52 265 kg,52 515 kg,1,,
Flight Plan,In which of the following cases can a commander of a commercial flight plan the usage of the final reserve fuel?,In case of VFR flights during the day.,In case for a flight with an unexpected diversion.,If safe force landing areas are always available during flight.,Final reserve fuel is for emergency only therefore it is prohibited to plan the usage of such fuel.,4,,
Flight Plan,Integrated range curves or tables are presented in the Aeroplane Operations Manuals. Their purpose is:,to determine the flight time for a certain leg under consideration of temperature deviations.,to determine the still air distance for wind components varying with altitude.,to determine the optimum speed considering the fuel cost as well as the time related cost of the aeroplane.,to determine the fuel consumption for a certain still air distance considering the decreasing fuel flow with decreasing mass.,4,,
Flight Plan,The quantity of fuel which is calculated to be necessary for a jet aeroplane to fly IFR from departure aerodrome to the destination aerodrome is 5 352 kg. Fuel consumption in holding mode is 6 000 kg/hr. Alternate fuel is 4 380 kg. Contingency should be 5% of Trip Fuel. What is the minimum required quantity of fuel which should be on board at take-off?,13 000 kg,13 220 kg,14 500 kg,13 370 kg,1,,
Flight Plan,"The overhead distance from A to B is 45 NM at which you travel at 180 kts. The fuel flow per hour during cruise and holding is 2 700 kg and the additional fuel considered for climb,descent and approach equals 500 kg. What is your contingency fuel?",225 kg,59 kg,1 350 kg,34 kg,1,,
Flight Plan,"Contingency,which is used for flight planning purposes,corresponds to a value of 5% of the:",trip fuel.,reserve fuel.,alternate fuel.,block fuel.,1,,
Flight Plan,A pilot is preparing a commercial flight but during the planning phase the latest weather update at the destination aerodrome leads to a change of the runway which in turn results to a more time consuming arrival section. What will happen to the planned trip fuel?,It will not change because it is not part of the arrival procedure.,It will not change because the arrival fuel consists of a fixed quantity.,"The pilot could update the trip fuel,but he/she does not have to update the contingency fuel because it covers such changes during the planning phase.",It has to be updated correspondingly.,4,,
Flight Plan,Which of the following statements is correct if you compare the integrated range procedure with the average fuel flow procedure?,The average fuel flow procedure is more precise and considers different fuel consumption during different flight sectors.,The integrated range procedure is a much easier and faster method when calculating the necessary trip fuel.,The average fuel flow procedure is more precise and considers fuel consumption during different flight sectors.,The average fuel flow procedure allows a very precise monitoring of the fuel for short and long haul flights.,1,,
Flight Plan,Given:<br>Dry Operating Mass (DOM): 33 000 kg<br>Traffic Load: 8 110 kg<br>Final Reserve Fuel: 983 kg<br>Alternate Fuel: 1 100 kg<br>Contingency Fuel: 102 kg<br><br>The estimated landing mass at alternate should be:,42 210 kg.,42 195 kg.,42 312 kg.,41 110 kg.,2,,
Flight Plan,"Given the following,find the maximum additional load that can be carried:<br><br>Maximum Allowable Take-off Mass: 64 400 kg<br>Maximum Landing Mass: 56 200 kg<br>Maximum Zero Fuel Mass: 53 000 kg<br>Dry Operating Mass: 35 500 kg<br>Estimated load: 14 500 kg<br>Estimated Trip Fuel: 4 900 kg<br>Minimum take-off fuel: 7 400 kg",5 600 kg,4 000 kg,7 000 kg,3 000 kg,4,,
Flight Plan,The commander is responsible for the fuel. What is true regarding a diversion of a commercial flight?,The remaining fuel should be at least the same as the amount which is required to reach at least two different aerodromes where a safe landing can be made. One of them can be the aerodrome of departure.,"The remaining fuel should be at least the same amount as the required fuel to reach an aerodrome where a safe landing can be made,with final reserve fuel remaining.",A diversion is an unplanned event so the commander is not responsible concerning this amount of fuel.,The remaining fuel should be at least the same amount as the required fuel to return to the aerodrome of departure.,2,,
Flight Plan,"Following in-flight depressurization,a turbine powered aeroplane is forced to divert to an enroute alternate airfield.""If actual flight conditions are as forecast,the minimum quantity of fuel remaining on arrival at the airfield will be:","laid down by the operator,with the quantity being specified in the operating manual.",at least equivalent to 45 minutes flying time.,at least equivalent to 30 minutes flying time.,at least equivalent to the quantity required to fly to another aerodrome in the event that weather conditions so require.,3,,
Flight Plan,Max. Ramp Mass: 77 500 kg<br>Max. Take-off Mass: 77 000 kg<br>Max. Landing Mass: 66 360 kg<br>Max. Zero Fuel Mass: 62 720 kg<br>Dry Operating Mass: 42 845 kg<br>Traffic Load: 17 460 kg<br>Trip Fuel: 7 890 kg<br>Taxi Fuel: 195 kg<br>Planned Take-off Fuel: 10 365 kg<br><br>Calculate the maximum allowed extra fuel including any fuel penalty (135 kg/1 000 kg extra fuel) and consider a maximum tank capacity of 21 000 kg:,2 415 kg,4 138 kg,6 830 kg,3 580 kg,2,,
Flight Plan,For a public transport aeroplane with reciprocating engines the final reserve should be at least:,fuel to fly for 2 hours.,fuel to fly for 30 minutes at holding speed.,fuel to fly for 1 hour at holding speed.,fuel to fly for 45 minutes.,4,,
Flight Plan,"In a flight plan when the destination aerodrome is A and the alternate aerodrome is B,the final reserve fuel for a turbojet engine aeroplane corresponds to:",30 minutes holding 1 500 feet above aerodrome A.,30 minutes holding 1 500 feet above aerodrome B.,15 minutes holding 2 000 feet above aerodrome A.,30 minutes holding 2 000 feet above aerodrome B.,2,,
Flight Plan,The Trip Fuel for a jet aeroplane to fly from the departure aerodrome to the destination aerodrome is 5350 kg. Fuel consumption in holding mode is 6000 kg/hr. The quantity of fuel which is needed to carry out one go-around and land on the alternate airfield is 4380 kg. The destination aerodrome has a single runway. What is the minimum quantity of fuel which should be on board at take-off?,11 730 kg,14 730 kg,13 000 kg,13 230 kg,4,,
Flight Plan,For flight planning purposes the Landing Mass at alternate is taken as:,Zero Fuel Mass plus Final Reserve Fuel and Alternate Fuel.,Zero Fuel Mass plus Final Reserve Fuel.,Zero Fuel Mass plus Final Reserve Fuel and Contingency Fuel.,Landing Mass at destination plus Alternate Fuel.,3,,
Flight Plan,The required time for final reserve fuel for turbojet aeroplane is:,60 min.,variable with wind velocity.,30 min.,45 min.,3,,
Flight Plan,A jet aeroplane is to fly from A to B. The minimum final reserve fuel must allow for:,20 minutes hold over alternate airfield.,15 minutes hold at 1 500 ft above destination aerodrome elevation.,30 minutes hold at 1 500 ft above mean sea level.,"30 minutes hold at 1 500 ft above destination aerodrome elevation,when no alternate is required.",4,,
Flight Plan,Given:<br><br>Maximum Allowable Take-off Mass: 64 400 kg<br>Maximum Landing Mass: 56 200 kg<br>Maximum Zero Fuel Mass: 53 000 kg<br>Dry Operating Mass: 35 500 kg<br>Estimated load: 14 500 kg<br>Estimated Trip Fuel: 4 900 kg<br>Minimum take-off fuel: 7 400 kg<br><br>Find the maximum allowable take-off fuel:,11 100 kg,14 400 kg,11 400 kg,8 600 kg,1,,
Flight Plan,How is assumed the mass of the aircraft at destination?,"Zero fuel mass,alternate,final reserve fuel.","Zero fuel mass,final reserve fuel,contingency.","Zero fuel mass,alternate,contingency.","Zero fuel mass,alternate,final reserve fuel,contingency.",4,,
Flight Plan,Which of the following statements is relevant for forming route portions in integrated range flight planning?,Each reporting point requires a new segment.,No segment shall be more than 30 minutes of flight time.,The distance from take-off up to the top of climb has to be known.,A small change of temperature (2 °C) can divide a segment.,3,,
Flight Plan,"If the flight is performed as planned,which of the listed estimated masses is correct?",Estimated Landing Mass at destination is 43 193 kg.,Estimated Take-off Mass is 45 233 kg.,Estimated Landing Mass at destination is 43 295 kg.,Estimated Landing Mass at alternate is 42 093 kg.,3,,
Flight Plan,You are to determine the maximum fuel load which can be carried in the following conditions:<br>Dry Operating Mass: 2 800 kg<br>Trip Fuel: 300 kg<br>Payload: 400 kg<br>Maximum Take-off Mass: 4 200 kg<br>Maximum Landing Mass: 3 700 kg,500 kg,800 kg,1 000 kg,700 kg,2,,
Flight Plan,An aeroplane has the following masses:<br><br>Estimated LM: 50 000 kg<br>Trip Fuel: 4 300 kg<br>Contingency fuel: 215 kg<br>Alternate fuel (final reserve included): 2 100 kg<br>Taxi: 500 kg<br>Block Fuel: 7 115 kg<br><br>Before departure the captain orders to make the Block Fuel 9 000 kg. After this change the Trip Fuel in the operational flight plan should read:,9 000 kg,6 400 kg,6 185 kg,4 300 kg,4,,
Flight Plan,"Alternate fuel:","where two destination alternate aerodromes are required,be sufficient to proceed to the first alternate aerodrome and thereafter to the second alternate aerodrome.","fuel for executing at least three approaches and a final landing at the destination alternate aerodrome.","includes a missed approach at alternate.","excludes a missed approach at alternate.",2,,
Flight Plan,The final reserve fuel for aeroplanes with turbine engines is:,fuel to fly for 45 minutes at holding speed at 1 500 ft (450 m) above aerodrome elevation in standard conditions.,fuel to fly for 30 minutes at holding speed at 1 500 ft (450 m) above aerodrome elevation in standard conditions.,fuel to fly for 60 minutes at holding speed at 1 500 ft (450 m) above aerodrome elevation in standard conditions.,fuel to fly for 45 minutes at holding speed at 1 000 ft (300 m) above aerodrome elevation in standard conditions.,2,,
Flight Plan,"An operator shall ensure that calculation of usable fuel for an IFR flight with a turbojet aeroplane for which no destination alternate is required includes,taxi fuel,Trip Fuel,contingency fuel and fuel to fly for:",45 minutes at holding speed at 450 m above aerodrome elevation in standard conditions.,2 hours at normal cruise consumption.,45 minutes plus 10% of the flight time planned to be spent at cruising level or two hours whichever is less.,45 minutes at holding speed at 450 m above MSL in standard conditions.,1,,
Flight Plan,The following fuel consumption figures are given for a jet aeroplane:<br><br>Standard taxi fuel: 600 kg<br>Average cruise consumption: 10 000 kg/hr<br>Holding fuel consumption at 1.500 ft above alternate airfield elevation: 8 000 kg/hr<br>Flight time from departure to destination: 6 hrs<br>Fuel for diversion to alternate: 10 200 kg<br>Forecast visibility at destination: 2 000 m<br><br>The minimum ramp fuel load is:,77 200 kg,77 800 kg,79 800 kg,74 800 kg,2,,
Flight Plan,Fuel for a missed approach is taken from the:,contingency fuel.,extra fuel.,alternate fuel.,trip fuel.,3,,
Flight Plan,"Given:<br><br>Dry Operating Mass (DOM): 33 510 kg<br>Load: 7 600 kg<br>Final reserve fuel: 983 kg<br>Alternate fuel: 1 100 kg<br>Contingency fuel: 102 kg<br><br>If the flight is performed as planned,the estimated Landing Mass at alternate airport should be:",42 195 kg,42 093 kg,42 210 kg,42 312 kg,1,,
Flight Plan,The purpose of the decision point procedure is?,To reduce the landing weight and thus reduce the structural stress on the aircraft.,To increase the amount of extra fuel.,To increase the safety of the flight.,To reduce the minimum required fuel and therefore be able to increase the Traffic Load.,4,,
Flight Plan,"A jet aeroplane has a cruising fuel consumption of 4 060 kg/hr,and 3 690 kg/hr during holding. If the destination is an isolated airfield,the aeroplane must carry,in addition to contingency reserves,additional fuel of:",7 380 kg,8 120 kg,3 500 kg,1 845 kg,2,,
Flight Plan,"When using decision point procedure,you reduce the:",holding fuel by 30%.,contingency fuel by adding contingency only from the burnoff between the decision airport and destination.,contingency fuel by adding contingency only from the burnoff between decision point and destination.,reserve fuel from 10% down to 5%.,3,,
Flight Plan,Mark the correct statement. If a decision point procedure is applied for flight planning:,a destination alternate is not required.,the Trip Fuel to the destination aerodrome is to be calculated via the decision point.,the Trip Fuel to the destination aerodrome is to be calculated via the suitable enroute alternate.,the fuel calculation is based on a contingency fuel from departure aerodrome to the decision point.,2,,
Flight Plan,"Consider an IFR flight with a departure aerodrome called ""DEP"" and a destination aerodrome called ""DEST"" and a decision point called ""DP"",since the decision point procedure has to be used. There is also a suitable aerodrome for refuelling,called aerodrome ""REF"". The pilot has calculated a trip fuel from DEP to DEST so the contingency will be at least:",5% from DEP to DEST.,5% from DP to REF.,5% from DP to DEST.,5% from DEP to REF.,1,,
Flight Plan,From which of the following would you expect to find the dates and times when temporary danger areas are active?,Only AIP (Aeronautical Information Publication).,SIGMET.,RAD/NAV charts.,NOTAM and AIP (Aeronautical Information Publication).,4,,
Flight Plan,In which of the following publications would you expect to find facilitation information regarding customs and health formalities?,NOTAM,AIP,NAV/RAD charts,ATCC,2,,
Flight Plan,"From which of the following would you expect to find information regarding known short unserviceability of VOR,TACAN,and NDB?",NOTAM.,SIGMET.,ATCC broadcasts.,AIP (Air Information Publication).,1,,
Flight Plan,"NOTAM extract: ""...ILS 25C LO,IDENT FR,297KHZ,RANGE LIMITED TO 10NM..."". What is limited to 10 NM?",Localizer,ILS,VOR,Locator,4,,
Flight Plan,Which statement about this NOTAM is correct?,This NOTAM replaces another NOTAM.,This NOTAM cancels another NOTAM.,Pilots need to be careful because of birds (risk of birdstrike).,Pilots need to be careful because of a crane reaching up to 85 ft above mean sea level.,4,,
Flight Plan,A METAR reads:<br>SA 1430 35002KT 7000 SKC 21/03 Q1024<br>Which of the following information is contained in this report?,Runway in use.,"Day,month.","Temperature,dew point.",Period of validity.,3,,
Flight Plan,Given:<br><br>Distance A to B: 3.623 NM<br>Ground speed OUT: 370 kts<br>Ground speed BACK: 300 kts<br><br>The time from A to the point of equal time (PET) between A and B is:,238 min.,288 min.,323 min.,263 min.,4,,
Flight Plan,Given:<br><br>Distance from departure to destination: 2380 NM<br>GS Out: 420 kts<br>GS Home: 520 kts<br><br>What is the time of the PET from the departure point?,152 min,123 min,19 min,188 min,4,,
Flight Plan,Given:<br><br>Distance from departure to destination: 350 NM<br>True track: 320°<br>W/V: 350/30<br>TAS: 130 kts<br><br>What is the distance and time of the PET from the departure point?,"Distance: 210 NM;Time: 121 min.","Distance: 139 NM; Time: 54 min.","Distance: 139 NM;Time: 81 min.","Distance: 123 NM;Time: 74 min.",1,,
Flight Plan,"If CAS is 190 kts,Altitude 9,000 ft,Temp. ISA -10 °C,True Course (TC) 350°,W/V 320/40,distance from departure to destination is 350 NM,endurance 3 hours and actual time of departure is 1105 UTC. The distance from departure to Point of Equal Time (PET) is:",203 NM,167 NM,147 NM,183 NM,1,,
Flight Plan,An aircraft was over Q at 1320 hours flying direct to R. Given:<br>Distance Q to R: 3016 NM<br>True airspeed: 480 kts<br>Mean wind component OUT: -90 kts<br>Mean wind component BACK: +75 kts<br>The ETA for reaching the point of equal time (PET) between Q and R is:,18:20,17:56,17:52,17:42,3,,
Flight Plan,"Find the distance to the Point of Safe Return (PSR),given:<br><br>Maximum usable fuel: 15 000 kg<br>Minimum reserve fuel: 3 500 kg<br>TAS out: 425 kts<br>Headwind component out: 30 kts<br>TAS return: 430 kts<br>Tailwind component return: 20 kts<br>Average fuel flow: 2 150 kg/hr",1 143 NM,1 463 NM,1 491 NM,1 125 NM,4,,
Flight Plan,"Two points A and B are 1 000 NM apart. TAS is 490 kts. On the flight between A and B the wind component is -20 kts. On the return leg between B and A,the wind component is +40 kts. What distance from A,along the route A to B,is the point of equal time (PET)?",470 NM,500 NM,455 NM,530 NM,4,,
Flight Plan,Given:<br><br>Distance from departure to destination: 410 NM<br>Safe Endurance: 3.6 hrs<br>True Track: 055°<br>W/V: 180/35<br>TAS: 120 kts<br><br>What is the distance of the PSR from the departure point?,169 NM,102 NM,203 NM,217 NM,3,,
Flight Plan,Given:<br><br>Distance A to B: 2.346 NM<br>Ground speed OUT: 365 kts<br>Ground speed BACK: 480 kts<br><br>The time from A to the point of equal time (PET) between A and B is:,167 min.,197 min.,260 min.,219 min.,4,,
Flight Plan,Given:<br><br>Distance from departure to destination: 5000 NM<br>Safe Endurance: 10 hrs<br>TAS: 450 kts<br>Ground speed Out: 500 kts<br>Ground speed Home: 400 kts<br><br>What is the distance of the PSR from the departure point?,1111 NM,2500 NM,2778 NM,2222 NM,4,,
Flight Plan,Given the following:<br>D = flight distance<br>X = distance to Point of Equal Time<br>GSo = ground speed out<br>GSr = ground speed return<br><br>The correct formula to find distance to Point of Equal Time is:,x = D Ã— GSr / (GSo + GSr),x = D Ã— GSo / (GSo + GSr),x = (D/2) Ã— GSo / (GSo + GSr),x = (D/2) + GSr / (GSo + GSr),1,,
Flight Plan,Given:<br><br>Distance from departure to destination: 95 NM<br>True track: 105°<br>W/V: 060/15<br>TAS: 140 kts<br><br>What is the distance of the PET from the departure point?,82 NM,51 NM,47.5 NM,44 NM,2,,
Flight Plan,Given:<br><br>Distance A to B: 3 060 NM<br>Mean ground speed OUT: 440 kts<br>Mean ground speed BACK: 540 kts<br>Safe Endurance: 10 hours<br><br>The time to the Point of Safe Return (PSR) is:,5 hours 45 minutes.,5 hours 20 minutes.,5 hours 31 minutes.,3 hours 55 minutes.,3,,
Flight Plan,"Given:<br><br>Distance from departure to destination: 270 NM<br>True track: 030°<br>W/V: 120/35<br>TAS: 125 kts<br><br>What is the distance and time of the PET from the departure point?","Distance: 130 NM; Time: 68 min.","Distance: 141 NM; Time: 65 min.","Distance: 141 NM; Time: 68 min.","Distance: 135 NM; Time: 68 min.",4,,
Flight Plan,Given:<br><br>Distance from departure to destination: 150 NM<br>Safe Endurance: 3.2 hrs<br>TAS: 90 kts<br>Ground speed out: 100 kts<br>Ground speed home: 80 kts<br><br>What is the distance and time of the PSR from the departure point?,"Distance: 71 NM;Time: 47 min.","Distance: 8 NM;Time: 5 min.","Distance: 67 NM;Time: 50 min.","Distance: 142 NM;Time: 85 min.",4,,
Flight Plan,"An aircraft takes-off from an airport 2 hours before sunset. The pilot flies a track of 090° (T),W/V 130°/20 kts,TAS 100 kts. In order to return to the point of departure before sunset,the furthest distance which may be traveled is:",84 NM,97 NM,115 NM,105 NM,2,,
Flight Plan,"The distance from A to B is 2368 NM. If outbound ground speed is 365 kts and homebound ground speed is 480 kts and safe endurance is 8 hrs 30 min,what is the time to the PNR?",190 minutes.,290 minutes.,219 minutes.,209 minutes.,2,,
Flight Plan,Given:<br><br>Distance from departure to destination: 140 NM<br>GS Out: 90 kts<br>GS Home: 80 kts<br><br>What is the distance of the PET from the departure point?,124 NM,70 NM,66 NM,74 NM,3,,
Flight Plan,Given:<br>Course A to B: 088°(T)<br>Distance: 1 250 NM<br>Mean TAS: 330 kts<br>Mean W/V: 340°/60 kts<br><br>The time from A to the PET between A and B is:,1 hour 39 minutes.,2 hours 02 minutes.,1 hour 54 minutes.,1 hour 43 minutes.,4,,
Flight Plan,Given:<br><br>Distance from departure to destination: 360 NM<br>Safe Endurance: 4.5 hrs<br>True Track: 345°<br>W/V: 260/30<br>TAS: 140 kts<br><br>What is the distance of the PSR from the departure point?,307 NM,154 NM,52 NM,185 NM,1,,
Flight Plan,"Given:<br><br>Distance A to B: 2484 NM<br>Mean ground speed OUT: 420 kts<br>Mean ground speed BACK: 500 kts<br>Safe endurance: 08 hrs 30 min<br><br>The distance from A to the point of safe return (PSR) is:",1 630 NM,1 940 NM,1 736 NM,1 908 NM,2,,
Flight Plan,Given:<br><br>Distance from departure to destination: 435 NM<br>GS Out: 110 kts<br>GS Home: 130 kts<br><br>What is the distance of the PET from the departure point?,236 NM,368 NM,199 NM,218 NM,1,,
Flight Plan,Given:<br><br>Distance from departure to destination: 3 000 NM<br>Safe endurance: 8 hrs<br>TAS: 520 kts<br>Ground speed out: 600 kts<br>Ground speed home: 440 kts<br><br>What is the time of the PSR from the departure point?,203 min,173 min,117 min,277 min,1,,
Flight Plan,Given:<br><br>Distance from departure to destination: 220 NM<br>True track: 175°<br>W/V: 220/10<br>TAS: 135 kts<br><br>What is the distance of the PET from the departure point?,136 NM,116 NM,103 NM,110 NM,2,,
Flight Plan,Given:<br><br>Distance from departure to destination: 340 NM<br>GS Out: 150 kts<br>GS Home: 120 kts<br><br>What is the distance of the PET from the departure point?,272 NM,170 NM,151 NM,189 NM,3,,
Flight Plan,Given:<br><br>Distance from departure to destination: 180 NM<br>Safe Endurance: 2.8 hrs<br>True Track: 065°<br>W/V: 245/25<br>TAS: 100 kts<br><br>What is the distance of the PSR from the departure point?,66 NM,68 NM,131 NM,49 NM,3,,
Flight Plan,"The distance between point of departure and destination is 340 NM and wind velocity in the whole area is 100°/25 kts. TAS is 140 kts,true track is 135° and safe endurance 3 hrs 10 min. How long will it take to reach the point of safe return?",5 hrs 30 min.,1 hrs 49 min.,1 hrs 37 min.,1 hrs 21 min.,2,,
Flight Plan,Find the time to the Point of Safe Return (PSR). Given:<br><br>Maximum usable fuel: 15 000 kg<br>Minimum reserve fuel: 3 500 kg<br>TAS out: 425 kts<br>Headwind component out: 30 kts<br>TAS return: 430 kts<br>Tailwind component return: 20 kts<br>Average fuel flow: 2 150 kg/hr,2 hrs 43 min,2 hrs 51 min,3 hrs 43 min,2 hrs 59 min,2,,
Flight Plan,Given:<br><br>Distance from departure to destination: 400 NM<br>Safe Endurance: 2.5 hrs<br>TAS: 115 kts<br>Ground speed Out: 130 kts<br>Ground speed Home: 105 kts<br><br>What is the distance of the PSR from the departure point?,145 NM,73 NM,179 NM,255 NM,1,,
Flight Plan,Given:<br><br>Distance from departure to destination: 1.100 NM<br>True track: 280°<br>W/V: 100/80<br>TAS: 440 kts<br><br>What is the distance and time of the PET from the departure point?,"Distance: 650 NM; Time: 75 min.","Distance: 450 NM; Time: 52 min.","Distance: 650 NM; Time: 108 min.","Distance: 550 NM; Time: 75 min.",2,,
