category,question,optionA,optionB,optionC,optionD,correct,image,explanation
Mass And Balance,Baggage in zone 4: 50 lbs<br>Zero Fuel Mass: 4120 lbs<br>Moment at Zero Fuel Mass: 377 lbs.in<br>Block Fuel: 100 US Gal<br>Trip Fuel: 55 US Gal<br>Fuel for start up and taxi (included in Block Fuel): 3 US Gal<br>Fuel density: 6 lbs/US Gal,91.69 inches aft of datum.,91.84 inches aft of datum.,91.92 inches aft of datum.,93.60 inches aft of datum.,3,,
Mass And Balance,"Refer to figure 031-32<br>From the data contained in the attached appendix, the maximum Allowable Take-off Mass and Traffic Load are respectively:",68 038 kg and 18 588 kg.,60 425 kg and 10 975 kg.,61 600 kg and 12 150 kg.,66 770 kg and 17 320 kg.,3,,
Mass And Balance,"Refer to figure 031-31<br>Using the data given in the load and trim sheet, determine which of the following gives the correct values for the Zero Fuel Mass and position of the centre of gravity (% MAC) at that mass.",46 130 kg and 17.8%,41 310 kg and 17.8%,46 130 kg and 24.8%,51 300 kg and 24.8%,1,,
Mass And Balance,Refer to figure 031-47. A delayed flight resulted in 16 passengers and their baggage (1 bag per passenger) not arriving for the flight. They are removed from the load and trim sheet (standard mass of 84 kg per passenger and 14 kg per bag). The baggage was in Hold 4 and the passengers were to be seated in Compartment Oc. Which statement is correct after these changes have been accounted for?,TOM CG = 20% MAC.,TOM index = 70.,ZFM index = 76.,LM CG = 18% MAC.,1,,
Mass And Balance,"Refer to figure 031-31<br>Using the data given in the load and trim sheet, determine from the following the correct values for the Take-off Mass and the position of the centre of gravity at that mass if the fuel index correction to be applied is given as -0.9.",17.5%,22.6%,20.1%,20.3%,1,,
Mass And Balance,Refer to figure 031-34<br>The aft centre of gravity limit is located at 2.97 m. The datum is located in front of the aircraft. Is it allowed to fly under otherwise identical conditions if a pilot is weighing 10 kg less as given?,"No, the new centre of gravity is located 1 cm aft of the aft limit, thus outside the allowable range.","Yes, the new centre of gravity is now located more forward within the allowable range.","Yes, the new centre of gravity is located 1 cm forward of the aft limit, thus still within the allowable range.","Yes, the reduced mass can only have a positive effect",3,,
Mass And Balance,"Refer to figure 031-28<br>Using the load and trim sheet, which of the following is the correct value for the index at a Dry Operating Mass (DOM) of 35 000 kg with a CG at 14% MAC?",33,41.5,35.5,40,4,,
Mass And Balance,"Refer to figure 031-45<br>Without the crew, the mass and longitudinal CG position of the aircraft are 6000 kg and 4.70 m.<br>The mass of the pilot: 90 kg<br>The mass of the copilot: 100 kg<br>The mass of the flight engineer: 80 kg<br>With the crew, the mass and longitudinal CG position of the aircraft are:",6270 kg and 5.012 m.,6270 kg and 4.796 m.,6270 kg and 4.61 m.,6270 kg and 4.594 m.,4,,
Mass And Balance,Once the mass and balance documentation has been signed prior to flight:,No load alterations are allowed.,Documented last minute changes to the load may be incorporated.,The documentation is not signed prior to flight.,Acceptable last minute changes to the load must be documented.,4,,
Mass And Balance,"Refer to figure 031-45<br>Without the crew, the weight and the CG position of the aircraft are 7000 kg and 4.70 m.<br><br>The mass of the pilot: 90 kg<br>The mass of the copilot: 75 kg<br>The mass of the flight engineer: 90 kg<br><br>With this crew on board, the CG position of the aircraft will be:",4.455 m,4.615 m,0.217 m,4.783 m,2,,
Mass And Balance,"Refer to figure 031-29<br>Using the data given at the appendix to this question, if the fuel index corrections (from ZFM index) are as follows:<br>Fuel Index<br>9 500 kg 0.9<br>6 500 kg -6.1<br>3 500 kg -4.7<br>3 000 kg -4.3<br>Which of the following represent the correct values for Landing Mass of the aeroplane and the position of the centre of gravity for this condition?",52 900 kg and 18.8 %,52 900 kg and 21.6 %,49 130 kg and 18.7 %,49 130 kg and 29.2 %,3,,
Mass And Balance,Refer to figure 031-32<br>An aeroplane is carrying a Traffic Load of 10 320 kg. Complete the necessary sections of the attached appendix and determine which of the answers given below represents the maximum increase in the Traffic Load:,8 268 kg,655 kg,7 000 kg,1 830 kg,4,,
Mass And Balance,"Refer to figure 031-30<br>From the data given at the appendix and assuming a fuel index shift of -5.7 from the ZFM loaded index, determine which of the following, is the correct value (percentage MAC) for the position of the centre of gravity at Take-off Mass:",15%,19%,14%,18%,4,,
Mass And Balance,Total moment at take-off:,031-10 lbs.in,401 338 lbs.in,377 746 lbs.in,433 906 lbs.in,2,,
Mass And Balance,Refer to figure 031-54<br>Calculate the basic empty mass (BEM) by using the attached loading manifest:,4 460 lb,3 225 lb,3 240 lb,3 210 lb,4,,
Mass And Balance,Front seat passenger: 200 lbs<br>Centre seat passengers: 290 lbs (total)<br>One passenger rear seat: 110 lbs<br>Baggage in zone 1: 100 lbs<br>Baggage in zone 4: 50 lbs<br>Block Fuel: 100 US Gal<br>Trip Fuel: 35 US Gal<br>Fuel for start up and taxi (included in Block Fuel): 3 US Gal<br>Fuel density: 6 lbs/US Gal,30 886 lbs.in,56 160 lbs.in,9 360 lbs.in,433 906 lbs.in,2,,
Mass And Balance,Front seat passenger: 200 lbs<br>Centre seat passengers: 290 lbs<br>One passenger rear seat: 110 lbs<br>Baggage in zone 1: 100 lbs<br>Baggage in zone 4: 50 lbs<br>Block Fuel: 100 US Gal<br>Trip Fuel: 55 US Gal<br>Fuel for start up and taxi (included in Block Fuel): 3 US Gal<br>Fuel density: 6 lbs/US Gal,4120 lbs,4372 lbs,4390 lbs,4720 lbs,4,,
Mass And Balance,"Refer to figure 031-30<br>Using the data given at the appendix, determine which of the following correctly gives the values of the Zero Fuel Mass (ZFM) of the aeroplane and the load index at ZFM:",35 100 kg and 20.5,46 300 kg and 20.5,51 300 kg and 57.0,48 600 kg and 57.0,4,,
Mass And Balance,"Refer to figures 031.01, 031-06, 031-07 and 031-09<br>With respect to a single-engine piston powered aeroplane, determine the Zero Fuel Moment (lbs.in/100) in the following conditions:<br><br>Basic Empty Mass: 2415 lbs<br>Arm at Basic Empty Mass: 77.9 in<br>Cargo Zone A: 350 lbs<br>Baggage Zone B: 35 lbs<br>Pilot and front seat passenger: 300 lbs (total)",2548.8,2496.3,6675,2311.8,1,,
Mass And Balance,"The loading manifest shows the following details: Passengers loaded: 40 males 65 females 8 children 5 infants Baggage in hold number 4: 120 pieces Using the standard mass values given and the data in the appendix, select from the following the correct value for the mass of freight (all loaded in hold No. 1) which constitutes the remainder of the Traffic Load:",210 kg.,260 kg.,no cargo can be loaded in hold number 1.,280 kg.,2,,
Mass And Balance,Refer to figure 031-57<br>Calculate the CG position and moment for the BASIC EMPTY MASS by using the data given from the attached table:,115.7 in aft of datum and the moment is 365074 in.lb,95.3 in aft of datum and the moment is 380373 in.lb,113.6 in aft of datum and the moment is 430998 in.lb,111.4 in aft of datum and the moment is 489666 in.lb,1,,
Mass And Balance,Given:<br><br>Total Mass: 2900 kg<br>Centre of gravity (CG) location: 115.0<br>Aft CG limit station: 116.0<br><br>The maximum mass that can be added at station 130.0 is:,14 kg,140 kg,317 kg,207 kg,4,,
Mass And Balance,"Given:<br>Actual mass: 116500 lbs<br>Original CG station: 435.0<br>Compartment A station: 285.5<br>Compartment B station: 792.5<br>If 390 lbs of cargo is moved from compartment B (aft) to compartment A (forward), what is the station number of the new CG?","423.3","433.3","506.3","463.7",2,,
Mass And Balance,"Given:<br>Total Mass: 7500 kg<br>Centre of gravity (CG) location station: 80.5<br>Aft CG limit station: 79.5<br>How much cargo must be shifted from the aft cargo compartment at station 150 to the forward cargo compartment at station 30 in order to move the CG location to the aft limit?","62.5 kg","65.8 kg","73.5 kg","68.9 kg",1,,
Mass And Balance,An aircraft has a mass of 5 000 lbs and the CG is located at 80 in aft of the datum. The aft CG limit is at 80.5 in aft of the datum. What is the maximum mass that can be loaded into a hold situated 150 in aft of the datum without exceeding the limit?,23.15 lbs,39.50 lbs,58.15 lbs,35.97 lbs,4,,
Mass And Balance,Assume:<br><br>Aeroplane gross mass: 4750 kg<br>Centre of gravity at station: 115.8<br><br>If 100 kg is moved from station 30 to station 120 the new position of the centre of gravity will be at station:,120.22,118.33,118.25,117.69,4,,
Mass And Balance,"Refer to figure 031.23<br>An aeroplane, whose specific data is shown in the annex, has a planned Take-off Mass of 200,000 kg, with its centre of gravity (CG) is located at 15.38 m rearward of the reference point, representing a CG location at 30% MAC (Mean Aerodynamic Chord). For performance purposes, the captain decides to reset the value of the centre of gravity location to 35% MAC. The front and rear cargo compartments are located at a distance of 15 m and 25 m from the reference point respectively, the cargo load mass which needs to be transferred from the front to the rear cargo compartment is:",It is not possible to establish the required centre of gravity location.,3 600 kg.,5 600 kg.,4 600 kg.,4,,
Mass And Balance,The loaded mass of an aircraft is 2000 kg. What is the movement of the CG if additional 400 kg of cargo is loaded to a hold 2 m aft of the present CG position?,0.33 m forward,0.33 m aft,0.4 m forward,0.4 m aft,2,,
Mass And Balance,"The Total Mass of an aeroplane is 9 000 kg. The centre of gravity (CG) position is at 2.0 m from the datum line. The aft limit for CG is at 2.1 m from the datum line. What mass of cargo must be shifted from the front cargo hold (at 0.8 m from the datum) to the aft hold (at 3.8 m), to move the CG to the aft limit?",300 kg,30 kg,196 kg,900 kg,1,,
Mass And Balance,"The planned Take-off Mass of a turbojet aeroplane is 180 000 kg, with its centre of gravity located at 26% MAC (Mean Aerodynamic Chord). Shortly prior to engine start, the local staff informs the flight crew that 4 000 kg must be unloaded from cargo 4 (23.69 m aft of reference point). Given:<br>Distance from reference point to leading edge: 14 m<br>Length of MAC: 4.6 m<br>After the handling operation, the new centre of gravity location in % MAC will be?",21.8%,30.2%,20.0%,23.0%,1,,
Mass And Balance,"Length of the Mean Aerodynamic Chord: 1 m<br>Moment Arm of the forward cargo: -0.50 m<br>Moment Arm of the aft cargo: +2.50 m<br>Aircraft mass: 2200 kg<br>Centre of gravity: 25% MAC<br>To move the centre of gravity to 40%, which mass has to be transferred from the forward to the aft cargo hold?",165 kg,110 kg,180 kg,104 kg,2,,
Mass And Balance,Given:<br><br>Aeroplane mass = 36 000 kg<br>Centre of gravity (CG) is located at station 17 m<br><br>What is the effect on CG location if you move 20 passengers (Total Mass = 1 600 kg) from station 16 to station 23?,It moves aft by 3.22 m.,It moves aft by 0.157 m.,It moves aft by 0.31 m.,It moves forward by 0.157 m.,2,,
Mass And Balance,"A planned Take-off Mass of 200 000 kg; with its centre of gravity (CG) located at 15.38 m rearward of the reference point; representing a CG location at 30% MAC (Mean Aerodynamic Chord). The current cargo load distribution is: Front cargo: 6 500 kg Rear cargo: 4 000 kg. For performance purposes, the captain decides to reset the value of the centre of gravity location to 33% MAC. The front and rear cargo compartments are located at a distance of 15 m and 25 m from the reference point respectively. After the transfer operation, the new cargo load distribution is:","front cargo: 9 260 kg; rear cargo: 1 240 kg.","front cargo: 3 740 kg; rear cargo: 6 760 kg.","front cargo: 6 760 kg; rear cargo: 3 740 kg.","front cargo: 4 550 kg; rear cargo: 5 950 kg.",2,,
Mass And Balance,The mass of an aeroplane is 1 950 kg. If 450 kg is added to a cargo hold 1.75 metres from the loaded centre of gravity (CG). The loaded CG will move:,33 cm,40 cm,30 cm,34 cm,1,,
Mass And Balance,Refer to figure 031-20<br>The Total Mass of an aeroplane is 145 000 kg and the centre of gravity limits are between 4.7 m and 6.9 m aft of the datum. The loaded centre of gravity position is 4.4 m aft. How much mass must be transferred from the front to the rear hold in order to bring the out of limit centre of gravity position to the foremost limit?,62 500 kg,7 500 kg,35 000 kg,3 500 kg,2,,
Mass And Balance,Given that the Total Mass of an aeroplane is 112 000 kg with a centre of gravity position at 22.62 m aft of the datum. The centre of gravity limits are between 18 m and 22 m. How much mass must be removed from the rear hold (30 m aft of the datum) to move the centre of gravity to the middle of the limits:,8 680 kg,16 529 kg,29 344 kg,43 120 kg,3,,
Mass And Balance,"Refer to figure 031.22<br>A jet aeroplane, with the geometrical characteristics shown in the appendix, has a take-off weight (W) of 460 000 N and a centre of gravity (point G on annex) located at 15.40 m from the zero reference point. At the last moment the station manager has 12 000 N of freight added in the forward compartment at 10 m from the zero reference point. The final location of the centre of gravity, calculated in percentage of Mean Aerodynamic Chord AB (from point A), is equal to:",30.4%,16.9%,27.5%,35.5%,3,,
Mass And Balance,"Rush bags, last minute baggage and cabin crew baggage is held in/on:",bulk cargo.,palletised cargo.,containerized cargo.,forbidden cargo.,1,,
Mass And Balance,Which of the listed types of cargo can most likely be found in a bulk cargo compartment?,Live animals.,Containerised cargo.,Palletised cargo.,Late-arrival and crew baggage.,4,,
Mass And Balance,Passenger baggage of an aircraft is usually stored:,on the aircraft floor and secured with nets.,in containers.,on secured pallets.,in passenger compartments only.,2,,
Mass And Balance,Which of the following statements about loading is correct?,Bulk cargo loading requires much less ground personal than the loading of containers.,Live animals are never loaded as bulk cargo.,Containers can be connected directly to the aircraft and each container has its own manifest.,Pallets are mainly used on small aircraft and are strapped down.,3,,
Mass And Balance,"Imagine some large transport aircraft (e.g. Airbus A340, A380 or Boeing 747) which is flying from London to New York. The passengers personal belongings should be placed:",as baggage in special cargo containers.,"overhead the occupant's seats compartments, so they are easily accessible during flight.","underneath as bulk cargo, in order to minimize the space required.","on cargo pallets, safely tied by nets.",1,,
Mass And Balance,Which statement about palletised cargo is true?,It can be loaded without any specific loading equipment.,It comprises passenger baggage on pallets which is stored in cargo holds.,It consists of individual or multiple items stored on pallets and secured with nets and/or straps.,It is not used anymore because of the lack of protection.,3,,
Mass And Balance,The floor limit of an aircraft cargo hold is 5 000 N/mÂ². It is planned to load-up a cubic container measuring 0.4 m of side. It's maximum gross mass must not exceed (assume g = 10 m/sÂ²):,32 kg,80 kg,800 kg,320 kg,2,,
Mass And Balance,The structural limitation of a baggage compartment is 50 lb/ftÂ². A load has a mass of 320 kg and has to be distributed over an area of at least:,1.31 mÂ²,0.76 mÂ²,6.4 mÂ²,14.11 mÂ²,1,,
Mass And Balance,"The maximum floor loading for a cargo compartment in an aeroplane is given as 750 kg per square metre. A package with a mass of 600 kg is to be loaded. Assuming the pallet base is entirely in contact with the floor, which of the following is the minimum size pallet that can be used?",30 cm x 200 cm,40 cm x 200 cm,30 cm x 300 cm,40 cm x 300 cm,2,,
Mass And Balance,Given:<br>Pallet: 1.2 x 1.2 m<br>Max. running load: 1915 lb/m<br><br>Find the maximum allowed mass which can be loaded on the pallet without exceeding the maximum running load.,1329 lb,2757 lb,2298 lb,1596 lb,3,,
Mass And Balance,The maximum intensity floor loading for an aeroplane is given in the Flight Manual as 650 kg per square metre. What is the maximum mass of a package which can be safely supported on a pallet with dimensions of 80 cm by 80 cm?,41.6 kg,416.0 kg,101.6 kg,1 015.6 kg,2,,
Mass And Balance,"Refer to figure 031-19 A pallet having a freight platform which measures 200 cm x 250 cm has a Total Mass of 300 kg. The pallet is carried on two ground supports each measuring 20 cm x 200 cm. Using the Loading Manual for the transport aeroplane, calculate how much mass may be added to, or must be off loaded from, the pallet in order for the load intensity to match the maximum permitted distribution load intensity for lower deck forward cargo compartment.",28.5 kg may be added.,158.3 kg must be off loaded.,28.5 kg must be off loaded.,285.5 kg may be added.,4,,
Mass And Balance,The maximum load per running metre of an aeroplane is 350 kg/m. The width of the floor area is 2 metres. The floor strength limitation is 300 kg per square metre. Which one of the following crates can be loaded directly on the floor?,A load of 700 kg in a crate with dimensions 1.8 m x 1.4 m x 0.8 m.,A load of 500 kg in a crate with dimensions 1.5 m x 1 m x 1 m.,A load of 400 kg in a crate with dimensions 1.4 m x 0.8 m x 0.8 m.,A load of 400 kg in a crate with dimensions 1.2 m x 1.2 m x 1.2 m.,4,,
Mass And Balance,Loads must be adequately secured in order to:,avoid any centre of gravity (CG) movement during flight.,allow steep turns.,prevent excessive g-loading during the landing flare.,avoid unplanned centre of gravity (CG) movement and aircraft damage.,4,,
