category,question,optionA,optionB,optionC,optionD,correct,image,explanation
OPS,"In VMC, a runway should not be chosen as preferential for noise abatement procedures when:",it has no ILS or visual approach slope guidance.,"tailwind component, including gusts, is less than 4 kts.","crosswind component, including gusts, is 10 kts or less.",it has a tailwind regardless its magnitude.,1,,
OPS,"In the case of overheating of the brakes following the landing, the appropriate action at the parking position is:<br>1) set parking brake on.<br>2) set parking brake off, with chocks in position.<br>3) spray water on the brakes.<br>4) ventilate the brakes.","2, 4","2, 3","1, 4","1, 3",1,,
OPS,"After a landing, with overweight and overspeed conditions, the tyres and brakes are extremely hot. The firefighters should approach the landing gear tyres:",only from left or right side.,from any side.,only from front or rear side.,under no circumstances.,3,,
OPS,"To fight a fire in an air-conditioned class E cargo hold, the correct initial action is to:",discharge the fire extinguishers in the affected compartment.,confirm visually the fire.,shut off the ventilating airflow within the affected compartment.,evacuate the smoke.,3,,
OPS,During a flight it is necessary to use hand held fire extinguishers for fighting a small localized fire in the passenger cabin. The crew members know that the most effective method for discharging the extinguishing agent is by holding the extinguisher.,approximately 5 m from the source of the fire.,approximately 1.5 - 2.5 m from the source of the fire.,as close as possible to the base of the fire.,directly above the fire.,2,,
OPS,The actions required by the cabin crew on encountering smoke in the passenger cabin include:,"Deploy supplemental oxygen masks, identify cause of smoke and fight fire.","Inform the cockpit crew and thereafter all crew members shall go to their stations immediately, fasten seat belts and be prepared for emergency descent.","Ask the commander to deploy supplemental oxygen masks, turn off all electrical devices, move passengers away from the source and prepare for fire fighting.","Identify source of smoke, isolate any appropriate electrical and/or galley equipment, if possible move passengers away from the source, dispense wet towels if available.",4,,
OPS,A water fire extinguisher can be used without restriction for:<br>1) a paper fire.<br>2) a hydrocarbon fire.<br>3) a fabric fire.<br>4) an electrical fire.<br>5) a wood fire.<br>The combination regrouping all the correct statements is:,"1, 3, 5","1, 2, 3, 4, 5","2, 3, 4","2, 4, 5",1,,
OPS,During cruise you encounter an engine fire indication. What is your first action?,You follow the engine shut down procedures in Operations Manual Part B.,Don oxygen mask.,You use the rudder trim to compensate the adverse yaw.,You pull the fire extinguisher handle of the related engine.,1,,
OPS,Halon or equivalent fire extinguishers can be used in case of fire fighting in an aeroplane:,in the wheel bays and lavatories.,in the fuel tanks and in the cargo holds.,in the avionics bay and the wheel bays.,in the cockpit and cargo holds.,4,,
OPS,A 1211 halon fire extinguisher can be used for.<br>1) a paper fire.<br>2) a fabric fire.<br>3) an electric fire.<br>4) a wood fire.<br>5) a hydrocarbon fire.<br>The combination regrouping all the correct statements is:,"1, 2, 3, 4, 5","1, 3, 5","2, 4, 5","2, 3, 4",1,,
OPS,"In case of a cargo compartment fire, the system which should be switched off, is generally the:",ventilation of the cargo compartment.,total air-conditioning.,trim air.,pressurisation.,1,,
OPS,You can use a powder fire extinguisher for:<br>1) a paper fire.<br>2) a plastic fire.<br>3) a hydrocarbon fire.<br>4) an electrical fire.<br>The combination regrouping all the correct statements is:,"2, 3","1, 2, 3","1, 4","1, 2, 3, 4",4,,
OPS,"If smoke appears in the air conditioning, the initial action to be taken by the flight deck crew is to:",start an emergency descent.,determine the origin of the smoke.,cut off all air conditioning units.,put on the oxygen mask and goggles.,4,,
OPS,"In case of an engine exhaust pipe (tailpipe) fire while on the ground, you should abort the starting procedure and:",pull the fire shut off handle and trigger the engines fire extinguishers.,carry out a damp cranking.,fight the nozzle fire with a water fire extinguisher.,carry out a dry cranking.,4,,
OPS,An engine fire warning will switch on the relevant fire shut-off handle. The fire shut-off handle will be switched off when:,the fire shut-off handle has been pulled.,fire is no longer detected.,all the fire extinguishers connected to this engine have been triggered.,the fire extinguisher has been triggered.,2,,
OPS,The actions required by the cockpit crew on experiencing smoke in the cockpit are:,"Put on oxygen masks and goggles, select 100% oxygen, identify cause of smoke, isolate electrical equipment as appropriate, continue with emergency checklist.","Start emergency descent first, then put on oxygen masks and goggles and select 100% oxygen.","At first, carry out smoke removal action.","At first, identify the cause of the smoke.",1,,
OPS,"Following a heavy mass landing on a short runway, you should check the:",pressure of the hydraulic fluid.,temperature of the hydraulic fluid.,pressure of the pneumatic tyres.,temperature of the brakes.,4,,
OPS,COâ‚‚ type extinguishers are suitable to fight fire on:<br>1) carbonaceous materials.<br>2) flammable liquids.<br>3) electrical equipment.<br>4) metals.<br>Which of the following combinations contains all the correct statements:,"2, 3, 4","1, 2, 3","1, 2, 4","1, 3, 4",2,,
OPS,"You will use a halon extinguisher for a fire of:<br>1) solids (fabric, plastic, etc.).<br>2) liquids (alcohol, gasoline, etc.).<br>3) gas.<br>4) metals (aluminium, magnesium, etc.).<br>The combination regrouping all the correct statements is:","1, 2, 3","1, 2, 3, 4","2, 3, 4","1, 2, 4",1,,
OPS,"A halon fire-extinguisher should be used on a fire of:<br>1) paper, fabric, plastic<br>2) flammable liquids<br>3) flammable gases<br>4) metals<br>The combination regrouping all the correct statements is:","2, 3, 4","1, 2, 3, 4","1, 2, 3","1, 2, 4",3,,
OPS,"A dry-chemical type fire extinguisher is suitable to fight:<br>1) class A fires.<br>2) class B fires.<br>3) electrical source fires.<br>4) special fires (metals, gas, chemicals).<br>Which of the following combinations contains all of the correct statements?","1, 2, 3","2, 4","3, 4","1, 2, 3, 4",4,,
OPS,The fire extinguisher types which may be used on class B fires are:<br>1) Hâ‚‚O<br>2) COâ‚‚<br>3) dry-chemical<br>4) halon<br>Which of the following combinations contains all of the correct statements:,2,"3, 4","2, 3, 4","1, 2, 3, 4",3,,
OPS,The correct statement about extinguishing agents on board aeroplanes is:,Water may only be used for minor fires.,Burning cargo in a cargo-aeroplane is usually extinguished by using carbon dioxide.,Halon is an effective extinguishing agent for use in aeroplanes.,A powder extinguisher is suitable for extinguishing a cockpit fire.,3,,
OPS,You will use a COâ‚‚ fire extinguisher for:<br>1) a paper fire<br>2) a plastic fire<br>3) a hydrocarbon fire<br>4) an electrical fire<br>The combination regrouping all the correct statements is:,"1, 2, 3","1, 2, 3, 4","2, 3","3, 4",2,,
OPS,"You will use a water fire extinguisher (straight jet) on a fire of:<br>1) solids (fabric, carpet, etc.)<br>2) liquids (ether, gasoline, etc.)<br>3) gas<br>4) metals (sodium, etc.)<br>The combination regrouping all the correct statements is:",3,2,1,"3, 4",3,,
OPS,On a passengers table within the cabin a laptop starts to burn. What are you going to do?,You take the laptop and put it into a fire resistance bag.,You move the laptop away from the passenger and use a fire extinguisher.,You use several bottles of water from the trolley.,You use a dry power extinguisher to extinguish the fire.,3,,
OPS,A fire occurs in a wheel and immediate action is required to extinguish it. The safest extinguishant to use is:,COâ‚‚ (carbon dioxide).,foam.,water.,dry powder.,4,,
OPS,"Due to risk of tyres explosion, after landing, when the brakes are at a very high temperature, one should approach the landing gear:",from any direction.,sidewards.,either from the front or the rear.,from the inboard side.,3,,
OPS,Just after passing V1 during a take-off roll you suddenly hear a fire warning bell and notice the illumination of engine fire warning light. Your first action is to:,shut down the burning engine.,extinguish the engine fire.,communicate with ATC.,establish a safe climb.,4,,
OPS,A hand water fire-extinguisher should be used on a fire of:,metals.,flammable gases.,flammable liquids.,"paper, fabric, carpet.",4,,
OPS,"In case of a fire due to the heating of the brakes, you fight the fire using:<br>1) a dry powder fire extinguisher.<br>2) a water spray atomizer.<br>3) a water fire extinguisher.<br>4) a CO2 fire extinguisher to the maximum.<br>The combination regrouping all the correct statements is:","1, 2","2, 3, 4","3, 4","1, 4",1,,
OPS,"Senior cabin crew member notices traces of smoke in the passenger cabin but can not positively identify its source of origin. The aircraft commander is notified and after the relevant abnormal checklist has been completed, his/her action will normally be to:",use the cargo compartment fire extinguisher since no fire is present in the cabin the cargo compartment is the most likely source of the smoke.,activate the passenger oxygen system and proceed to the nearest alternate aerodrome.,divert to the nearest aerodrome.,use the hand fire extinguishers by applying their contents into the area where the smoke is coming from.,3,,
OPS,The main feature of BCF fire extinguishers is that they:,are electrical conductors.,are highly corrosive particularly for aluminium alloys.,use the cooling effect created by the venturi during discharge.,act as flame inhibitors by absorbing the air's oxygen.,4,,
OPS,H2O extinguishers are fit to fight fires on:,electrical equipment.,flammable liquids.,"metals, flammable gases, chemical products.",carbonaceous materials.,4,,
OPS,"Following a fire in the passenger cabin, the cabin crew should first...",attend their stations.,move passengers away from the source of the fire.,provide supplementary oxygen to those who need it.,put on life jackets and prepare to ditch.,2,,
OPS,There is smoke in the cockpit and the crew manages to locate its source. What should they do?,Ask the cabin crew to put on a smoke hood and extinguish the fire by using water immediately.,Isolate the fire by cutting power off by using circuit breakers.,Continue towards destination if the flight time remaining is less than 90 min.,Divert with maximum possible airspeed.,2,,
OPS,The fire extinguisher types which may be used on class A fires are:<br>1) H2O<br>2) CO2<br>3) dry chemical<br>4) halon<br>Which of the following combinations contains all of the correct statements?,1,"2, 3, 4","1, 2, 3, 4","3, 4",3,,
OPS,A warning device alerts the crew in case of an excessive cabin altitude. This warning must be triggered on reaching the following altitude:,10 000 ft (approx. 3 000 m).,8 000 ft (approx. 2 400 m).,12 000 ft (approx. 3 600 m).,14 000 ft (approx. 4 200 m).,1,,
OPS,An aeroplane suffers an explosive decompression at an altitude of 31 000 ft. What is the initial action by the operating crew?,To put on oxygen masks.,Place the seat belts sign to ON.,Transmit a MAYDAY message.,Press the passenger oxygen masks release button.,1,,
OPS,"According to EASA AIR OPS, oxygen masks for use by flight crew members shall be a quick donning type of mask, in pressurized aeroplanes operating at pressure altitudes above:",39 000 ft,41 000 ft,10 000 ft,25 000 ft,4,,
OPS,Malfunctioning of the automatic pressurization system is indicated by:<br>1) a change in environmental sounds.<br>2) the cabin altitude gauge indicates an abnormal rate of climb.<br>3) the differential pressure between the exterior and the interior of the aircraft decreases.<br>The combination regrouping all the correct statements is:,"1, 2","1, 3","2, 3","1, 2, 3",4,,
OPS,Which of the following might be a noticeable effect clearly indicating an explosive decompression has just occurred?,"Unusual 'surging' sounds coming from the engines, typically followed by all engines shutting down.",Slight ear discomfort.,Significant temperature increase occurring suddenly.,Loose items located close to a specific area being sucked out of the aircraft.,4,,
OPS,"If cabin altitude increases during level flight, the differential pressure:",increases.,remains constant.,attains its maximum permitted operating limit.,decreases.,4,,
OPS,What might be noticeable during a SLOW decompression?,Loose items close to the area being sucked out of the aircraft.,An increase in cabin altitude.,A loud bang.,A decrease in cabin altitude.,2,,
OPS,A slow decompression may be caused by:<br>1) a leak in a door seal during normal pressurised flight.<br>2) loss of a cabin window.<br>3) malfunction of all pressurised systems.<br>4) loss of a door.<br>The combination regrouping all the correct statements is:,"2, 4","1, 2, 3, 4","1, 3","1, 2, 3",3,,
OPS,The time of useful consciousness in case of an explosive decompression at an altitude of 40 000 ft is approximately.,5 minutes.,1 minute.,12 seconds.,30 seconds.,3,,
OPS,"Mist in the cabin, pressure and temperature drop characterize:",a rapid depressurization.,an electrical fire.,a plastic fire.,a slow depressurization.,1,,
OPS,"Following an explosive decompression, if you are using an oxygen diluter-demand system, the regulator controls the amount of air that is mixed with pure oxygen when the supply selector is at the ""normal"" position. At what approximate altitude will the regulator supply to the mask become pure oxygen only?",14 000 ft,24 000 ft,8 000 ft,32 000 ft,4,,
OPS,"Following an explosive decompression at FL370, your first action will be:",to comfort your passengers.,to put on the oxygen mask.,to set the transponder to 7 700.,to warn the ATC.,2,,
OPS,Which of the following might be a noticeable effect clearly indicating a rapid decompression has just occurred during level flight?,Rapid temperature increase.,Loud bang or similar noise.,Influx of air into the cabin.,Rapid cabin rate of descent indication.,2,,
OPS,A cabin crew member suspects a slow decompression is occurring. What is the first course of action?,Done oxygen mask.,Continue with current task because a slow decompression will be compensated for by the pressurization system.,Alert the flight crew.,Walk through the cabin and check passengers.,1,,
OPS,What would be evident during a rapid decompression?<br>1) Violent rush of gas from lungs.<br>2) Expansion of body gases.<br>3) Blast of air to the exterior.<br>4) Mist in the cabin.,"1, 2, 3","1, 2, 4","1, 2, 3, 4","2, 3, 4",3,,
OPS,"During a landing approach, the aircraft is subjected to wind shear with an increasing headwind. In the absence of a pilot action, the aircraft: <br> 1) Flies above the glide path. <br> 2) Flies below the glide path. <br> 3) Has an increasing true airspeed. <br> 4) Has a decreasing true airspeed. <br> The combination of correct statements is:","2, 3","1, 4","1, 3","2, 4",3,,
OPS,A wind blowing over an area of 5 km for about 1 to 5 minutes is called:,gust.,wind shear.,microburst.,cross wind.,3,,
OPS,One of the main characteristics of wind shear is that it:,occurs only at a low altitude (2 000 ft) and never in the horizontal plane.,can occur at any altitude in both the vertical and horizontal planes.,occurs only at a low altitude (2 000 ft) and never in the vertical plane.,can occur at any altitude and only in the horizontal plane.,2,,
OPS,"Wind shear may be described as a change in wind direction and/or speed in space, including updraughts and downdraughts. To counter the effects of wind shear the amount of control action that is required is:",substantial.,none.,small.,medium.,1,,
OPS,When would reduced take-off thrust not be used?,If the visibility is 3 000 m and the limit is 1.9 km.,If there is a tailwind of 2 kt and the limit is 5 kt.,If wind shear could be expected.,If crosswind is 13 kt and the limit is 15 kt.,3,,
OPS,"While approaching a mountainous airfield, the captain of a transport aircraft notices a fast and high increase in the indicated airspeed without any change in the preselected engine and attitude parameters. The preceding crews had reported the occurrence of wind shears in final phase. He must:",reduce rapidly the selected thrust in order to reach 1.2 VA and try a precision landing.,"maintain aircraft on the glide path, accept a positive speed deviation, monitor the speed evolution.","take a level flight attitude to reduce speed, then come back to glide path from above.","reduce rapidly the selected thrust, maintain on the glide path.",2,,
OPS,Horizontal wind shear:,is measured on a mast at the same height and on different places along runway.,cannot be measured.,is measured on a mast in different heights along runway.,is measured by the wind cone.,1,,
OPS,"On final approach, you encounter a strong rear wind gust or strong downwash which forces you to go-around. You should apply go-around thrust and: <br> 1) maintain the same aircraft configuration (gear and flaps) <br> 2) reduce the drags (gear and flaps) <br> 3) gradually increase the attitude up to triggering of stick shaker <br> 4) avoid excessive attitude change <br> The combination of correct statements is:","1, 3","1, 4","2, 3","2, 4",4,,
OPS,What action is correct when a pilot of a different aircraft gives a warning about a microburst during a final approach?,Immediately turn left or right to avoid the microburst.,Divert to the alternate.,Immediately turn by 180Â° to avoid the microburst.,Set a higher approach speed.,4,,
OPS,In a microburst combined with a violent storm the winds at:,low altitude converge on the centre of the phenomenon and the atmospheric pressure decreases by a few hectopascals.,low altitude diverge from the centre of the phenomenon and the atmospheric pressure increases by a few hectopascals.,low altitude diverge from the centre of the phenomenon and the atmospheric pressure decreases by a few hectopascals.,high altitude converge on the centre of the phenomenon and the atmospheric pressure increases by a few hectopascals.,2,,
OPS,"Which parameter will change first, when penetrating a horizontal wind shear?",Vertical speed.,Pitch angle.,Ground speed.,Indicated airspeed.,4,,
OPS,"Just after take-off an aircraft encounters a ""microburst"" situated directly ahead. The initial indications will be:<br>1) an increase in headwind.<br>2) an increase in tailwind.<br>3) better climb performance.<br>4) a decrease in climb gradient.<br>The combination regrouping all the correct statements is:","2, 4","2, 3","1, 3","1, 4",3,,
OPS,"During a landing approach, the aircraft is subjected to wind shear with a decreasing headwind. In the absence of a pilot action, the aircraft: <br> 1) flies above the glide path. <br> 2) flies below the glide path. <br> 3) has an increasing true airspeed. <br> 4) has a decreasing true airspeed. <br> The combination of correct statements is:","1, 3","2, 4","2, 3","1, 4",2,,
OPS,"During a landing approach, the aircraft is subjected to wind shear with a decreasing tailwind. In the absence of a pilot action, the aircraft: <br> 1) Flies above the glide path <br> 2) Flies below the glide path <br> 3) Has an increasing true airspeed <br> 4) Has a decreasing true airspeed <br> The combination of correct statements is:","1, 4","2, 3","2, 4","1, 3",4,,
OPS,"During a landing approach, the aircraft is subjected to wind shear with an increasing tailwind. In the absence of a pilot action, the aircraft: <br> 1) flies above the glide path. <br> 2) flies below the glide path. <br> 3) has an increasing true airspeed. <br> 4) has a decreasing true airspeed. <br> The combination of correct statements is:","2, 3","1, 3","1, 4","2, 4",4,,
OPS,"While approaching the outer marker, the tower informs you about the presence of a microburst. You will expect to encounter:",supercooled water.,wind shears (vertical and horizontal).,convection motion of air mass.,wake turbulence.,2,,
OPS,Select a true statement about horizontal wind shear:,"A change of the horizontal vector with height, determined on masts located at different heights along the runway.","A change of vertical vector with horizontal distance, determined on masts located on the same height along the runway.","A change of vertical vector with horizontal distance, determined on masts located at different heights along the runway.","A change of the horizontal vector with horizontal distance, determined on masts located at the same height along the runway.",4,,
OPS,"In the ""worst case"" scenario of recovery from the effects of a microburst, having increased to full go-around power, in co-ordinating power and pitch it may be necessary to:",slowly increase speed whilst maintaining a positive rate of climb.,climb away at V_AT+20 kts.,increase the pitch angle until the stick shaker is felt and hold at slightly below this angle.,reduce speed to V_2 and hold.,3,,
OPS,"When experiencing a downdraft, what effect does this have on an aircraft during approach?",Causes the aircraft to pitch up or down dependant on the strength of the downdraft.,Reduces rate of decent.,Decreased angle of attack.,Flight above glide path.,3,,
OPS,Wind shear is:,a vertical or horizontal wind velocity and/or wind direction variation over a short distance.,a vertical or horizontal wind velocity and/or wind direction variation over a large distance.,a horizontal wind velocity variation over a short distance.,a vertical wind velocity variation over a short distance.,1,,
OPS,"A flight is to depart from an airport with runways 09 and 27. Surface wind is 270/05, an inversion is reported at 300 feet with turbulence and wind shear. The wind just above the inversion is 090/30. What is the safest departure procedure?",Depart runway 27 with as steep an ascent as possible.,Take-off is not possible under these conditions.,Depart runway 27 with maximum throttle during the passage through the inversion.,Depart runway 09 with a tailwind.,4,,
OPS,"An aircraft which experiences a headwind of 40 kts while making its way towards the centre of a microburst may expect, when crossing the microburst, to face a wind shear of:",40 kts,60 kts,80 kts,20 kts,3,,
OPS,"In case of an unexpected encounter with wind shear on a final approach to landing, you will:<br>1) set the maximum take-off thrust.<br>2) increase the pitch-up attitude up to the limit actuating the stick shaker.<br>3) pull in the drag devices (gear and flaps).<br>4) keep the airplanes current configuration.<br>5) try to reach the maximum lift-to-drag ratio.<br>The combination regrouping all the correct statements is:","1, 3, 5","2, 3","3, 5","1, 2, 4",4,,
OPS,"After take-off, an aircraft is subjected to wind shear with a decreasing headwind. In the absence of a pilot action, the aircraft: <br> 1) flies above the climb-out path. <br> 2) flies below the climb-out path. <br> 3) has an increasing true airspeed. <br> 4) has a decreasing true airspeed.","2, 4","1, 4","2, 3","1, 3",1,,
OPS,When an aircraft flies into a horizontal tailwind gust the aircraft tends:,"to climb or descend, depending on the gust strength.",to descend.,to climb.,not to change its trajectory.,2,,
OPS,How do the vortexes from an aeroplane wing act?,They go from upper surface to lower via the root.,They go from wing tip upwards around the wing tips.,They go from wing root to wing tip via the ailerons.,They go out from the wing tips and downward.,2,,
OPS,Wake turbulence category 'L' refers to aircraft which have a maximum certificated take-off mass of:,less than 136 000 kg but more than 7 000 kg.,less than 27 000 kg but more than 5 700 kg.,7 000 kg or less.,136 000 kg or more.,3,,
OPS,Wake turbulence should be taken into account when:,during cruise the vertical separation is reduced to 1.000 ft.,just before the landing a much lighter aeroplane has landed with a strong crosswind on a long runway.,a preceding aeroplane has performed low altitude high roll rate rolling manoeuvres over the runway.,"a much heavier aeroplane has landed just previously on the same runway, a light crosswind condition exist and all high-lift devices are being used.",4,,
OPS,The tip vortices circulate about each wing tip:,counterclockwise.,clockwise.,from the underwing towards the upper side of the wing.,from the upper side of the wing towards the underwing.,3,,
OPS,In a 5 kts right crosswind component behind a taking off aircraft:,the left wake turbulence stays approximately on the runway.,the runway will be clear of any hazard turbulence.,the right and left wake turbulence stays approximately on the runway.,the right wake turbulence stays approximately on the runway.,4,,
OPS,The wake turbulence:,starts during the rotation and stops as soon as the airplanes wheels touch the ground.,starts as soon as the aeroplane is running for take-off and stops as soon as it has come to a stop at landing.,starts when pulling out the drag devices and stops when retracting the drag devices.,starts when the airplane reaches a height of 300 ft above the ground and stops when it crosses this height before landing.,1,,
OPS,"For purpose of wake turbulence separation, what is the ICAO minimum radar separation distance and minimum time if a MEDIUM aeroplane (less than 136 000 kg and more than 7 000 kg) is following directly behind a HEAVY aeroplane on the approach to the same runway?",9.3 km (5 NM) and 2 minutes.,11.1 km (6 NM) and 3 minutes.,9.3 km (5 NM) and 3 minutes.,7.4 km (4 NM) and 2 minutes.,1,,
OPS,"Consider the typical characteristics of wake turbulence vortex circulation. As the vortices descend toward the ground surface their vertical velocity decreases and, with no or little wind, they begin to travel horizontally over the ground away from each other at a height of approximately:",double the wingspan of the generating aircraft.,a quarter of the wingspan of the generating aircraft.,half the wingspan of the generating aircraft.,the wingspan of the generating aircraft.,3,,
OPS,"For purpose of wake turbulence separation, what is the ICAO minimum separation time if a light aeroplane (7 000 kg or less) is following a medium aeroplane (less than 136 000 kg but more than 7 000 kg) on the approach to landing?",5 minutes.,2 minutes.,4 minutes.,3 minutes.,4,,
OPS,"For the purpose of wake turbulence separation, what is the ICAO minimum radar separation distance if a heavy aeroplane is following directly behind another heavy aeroplane on the approach to the same runway?",3.7 km (2 NM).,11.1 km (6 NM).,9.3 km (5 NM).,7.4 km (4 NM).,4,,
OPS,The time needed for the dissipation of a turbulent wake created by a heavy wide-body aircraft during take-off is about:,3 minutes.,10 minutes.,30 seconds.,1 minute.,1,,
OPS,Which are the best conditions for wake turbulence to move to a nearby runway:,"Strong wind, strong tailwind and strong crosswind.","Calm wind, strong crosswind and strong tailwind.","Calm wind, calm crosswind and light tailwind.","Strong wind, calm crosswind and strong tailwind.",3,,
OPS,"When taking-off behind a heavy aircraft, with the wind coming from the right side, you adopt, whenever possible:","a different flight path from the preceding aircraft, by remaining to the right of and above its path.","a different flight path from the preceding aircraft, by remaining behind it and under its path.","a different flight path from the preceding aircraft, by remaining to the left of and under its path.",an identical flight path to the one of the preceding aircraft.,1,,
OPS,How do wing tip vortices look if seen from behind?,These vortices are rotating cylindrical air masses trailing aft from the aircraft. The number and direction of turn of the vortices depends on the number of engines and the turning direction of the jet engine or propeller.,These vortices are two counter-rotating cylindrical air masses trailing aft from the aircraft and rotate clockwise on the left side and rotate counter-clockwise on the right side.,These vortices are two co-rotating cylindrical air masses trailing aft from the aircraft.,These vortices are two counter-rotating cylindrical air masses trailing aft from the aircraft and rotate counter-clockwise on the left side and clockwise on the right side.,2,,
OPS,"When taking-off behind a heavy aircraft, with the wind coming from the left side, you adopt, whenever possible:",an identical flight path to the one of the preceding aircraft.,"a different flight path from the preceding aircraft, by remaining behind it and under its path.","a different flight path from the preceding aircraft, by remaining to the right of and under its path.","a different flight path from the preceding aircraft, by remaining to the left of and above its path.",4,,
OPS,"In accordance with ICAO and PANS RAC procedures, which letter should be entered into a flight plan to denote an aeroplane which has a weight of less than 136000 kg but greater than 7000 kg:",H,M,S,L,2,,
OPS,"According DOC 4444 (ICAO), a wake turbulence non-radar separation minima of 2 minutes shall be applied to:",LIGHT aircraft taking off behind a MEDIUM aircraft from an intermediate part of the same runway.,LIGHT aircraft landing behind a MEDIUM aircraft.,MEDIUM aircraft taking off behind a HEAVY aircraft from an intermediate part of a parallel separated by less than 760 m.,MEDIUM aircraft landing behind a HEAVY aircraft.,4,,
OPS,"When a LIGHT aircraft is landing behind a MEDIUM aircraft, the wake turbulence non-radar minimum time approach separation, according with DOC 4444 (ICAO), shall be:",2 minutes,4 minutes,3 minutes,1 minute,3,,
OPS,Aeroplane wake turbulence during take-off starts when:,slats and flaps are extended only.,the take-off roll commences.,the nose wheel lifts off the runway.,out of ground effect.,3,,
OPS,"According to DOC 4444 (ICAO), a wake turbulence radar separation minima of 9.3 km (5.0 NM) shall be applied when a:","LIGHT aircraft is crossing behind a MEDIUM aircraft, at the same altitude or less than 300 m (1 000 ft).","MEDIUM aircraft is crossing behind a MEDIUM aircraft, at the same altitude or less than 300 m (1 000 ft).","HEAVY aircraft is crossing behind a HEAVY aircraft, at the same altitude or less than 300 m (1 000 ft).","LIGHT aircraft is crossing behind a HEAVY aircraft, at the same altitude or less than 300 m (1 000 ft).",1,,
OPS,"For the purpose of wake turbulence separation, what is the minimum separation time that is permitted when a light aircraft is taking off behind a heavy aircraft from an intermediate part of the same runway?",4 minutes.,3 minutes.,5 minutes.,2 minutes.,2,,
