IFR Comms,"What does the abbreviation ""MLS"" mean?",Mean Sea Level.,Minimum Sector Level.,Minimum Safe Level.,Microwave Landing System.,4,,
IFR Comms,What does ""SELCAL"" mean?,A system provided for direct exchange of information between air traffic services (ATS) units.,A system provided for direct exchange of information between air traffic services (ATS) units.,A system provided for direct exchange of information between air traffic services (ATS) units.,A system in which radiotelephony communication can be established between aircraft only.,3,,
IFR Comms,What does the abbreviation "INS" mean?,International Navigation Service.,Inertial Navigation System.,International NOTAM System.,Instrument Navigation System.,2,,
IFR Comms,What does the abbreviation "RVR" mean?,Runway Visual Range.,Runway Visibility Report.,Radar Vectors Required.,Re-cleared Via Route...,1,,
IFR Comms,What does the abbreviation "AIS" mean?,Aeronautical Information Service.,Aerodrome Information Service.,Aerodrome Identification Signal area.,Airport Information System.,1,,
IFR Comms,What does the abbreviation "H24" mean?,No specific working hours.,Continuous day and night service.,Sunrise to Sunset.,Aircraft handling available 24 hours a day.,2,,
IFR Comms,What does the abbreviation "IMC" mean?,International Meteorological Channel.,Instrument Meteorological Conditions.,In Most Cases.,In Meteorological Conditions.,2,,
IFR Comms,What does the abbreviation "SSR" mean?,Standard Snow Report.,Surface Strength of Runway.,Secondary Surveillance Radar.,Search and Surveillance Radar.,3,,
IFR Comms,What does the abbreviation "ATIS" mean?,Automatic Terminal Information Service.,Aircraft Terminal Information Service.,Airport Terminal Information Service.,Air Traffic Information Service.,1,,
IFR Comms,What does the abbreviation "RNAV" mean?,Radar Aided Navigation.,Route Navigation.,Area Navigation.,Radio Navigation.,3,,
IFR Comms,What does the abbreviation "SID" mean?,standard instrument departure,selective identification detection,standard equipment inoperable detection,supercell identification,1,,
IFR Comms,What does the abbreviation "SAR" mean?,Standard Arrival Route.,Surveillance Airport Radar.,Secondary Altimeter Responder.,Search and Rescue.,4,,
IFR Comms,What does QTE mean?,True bearing from the station.,Magnetic heading to the station.,Magnetic bearing from the station.,True heading to the station (no wind).,1,,
IFR Comms,What does QDR mean?,Magnetic bearing from the station.,True heading to the station.,Magnetic heading to the station (no wind).,True bearing from the station.,1,,
IFR Comms,What does QDM mean?,Magnetic bearing from the station.,True bearing from the station.,True bearing from the station.,Magnetic heading to the station (no wind).,4,,
IFR Comms,QNH is the Q-code to indicate:,the atmospheric pressure at aerodrome elevation (or at runway threshold).,the altimeter sub-scale setting to obtain elevation when on the ground.,the atmospheric pressure measured at the aerodrome reference point (ARP).,the atmospheric pressure referred to the highest obstacle located on the surface of an aerodrome.,2,,
IFR Comms,QFE is the RTF Q-code to indicate:,the atmospheric pressure referred to the highest fixed obstacle located on the surface of an aerodrome.,the atmospheric pressure corrected to the aircraft cockpit height.,the atmospheric pressure at aerodrome elevation (or at runway threshold).,the altimeter sub-scale setting to obtain the flight level reference datum,3,,
IFR Comms,What is the Q-code for magnetic bearing from the station?,QDM,QTE,QFE,QDR,4,,
IFR Comms,hat is the Q-code for magnetic heading to the station (no wind)?,QNE,QTE,QDR,QDM,4,,
IFR Comms,The priority of the instruction "TAXI TO RUNWAY 05" is:,less than "CAUTION, CONSTRUCTION WORK LEFT OF TAXIWAY".,less than "CLEARED TO LAND".,greater than "TRANSMIT FOR QDM".,same as "LINE-UP RUNWAY 07 AND WAIT".,4,,
IFR Comms,A message concerning aircraft parts and material urgently required is:,a flight security message.,an urgency message.,a flight regularity message.,a flight safety message.,3,,
IFR Comms,The priority of the pilot's message "REQUEST QDM" is:,greater than "TURN LEFT HEADING...",same as "LATEST QNH 1 018".,less than "DESCEND TO FLIGHT LEVEL ...",less than "REQUEST CLIMB TO FLIGHT LEVEL...",1,,
IFR Comms,Which of the following statements is correct?,There is no difference regarding priority between distress communications and urgency communications.,ATC clearances have the same priority as urgency communications.,The urgency communications have priority over all the other communications, except distress.,The urgency communications have priority over all the other communications.,3,,
IFR Comms,The clearance "CLEARED FOR IMMEDIATE TAKEOFF RUNWAY 03" is:,an unauthorized message.,a flight safety message.,an urgency message.,a flight regularity message.,2,,
IFR Comms,Air traffic control messages (clearances, instructions, etc.) belong to the category of:,class B messages.,flight regularity messages.,service messages.,flight safety messages.,4,,
IFR Comms,The message addressed to an Area Control Centre "REQUEST RADAR VECTORS TO CIRCUMNAVIGATE ADVERSE WEATHER" is:,a meteorological message.,a message relating to direction finding.,an urgency message.,a flight safety message.,4,,
IFR Comms,Which of the messages listed below shall not be handled by the aeronautical mobile service?,Meteorological messages.,Urgency messages.,Radio teletype messages.,Flight safety messages.,3,,
IFR Comms,"A message concerning an aircraft being threatened by graveand imminent danger, requiring immediate assistance is called",urgency message.,flight safety message.,distress message.,class B message.,3,,
IFR Comms,The order of priority of the following messages in the aeronautical mobile service is:,"direction finding message, distress message and urgency message.","distress message, urgency message and direction finding message".,"meteorological message, direction finding message and flight regularity message.","distress message, flight safety message and urgency message.",2,,
IFR Comms,The message to an aeronautical ground station ""PLEASE CALL A TAXI-CAB FOR US. WE WILL ARRIVE AT 1045 AS SCHEDULED"" is:,an urgency message.,a flight regularity message.,a flight safety messages.,an unauthorized message.,4,,
IFR Comms,The order of priority of the following messages in the aeronautical mobile service is:,flight safety message, meteorological message, flight regularity message.,flight safety message, direction finding message, urgency message.,meteorological message, direction finding message, flight safety message.,flight regularity message, distress message, meteorological message.,1,,
IFR Comms,Flight safety messages are:,air traffic control messages.,operation messages concerning non-routine landings.,messages relating to direction finding.,messages concerning the safety of an aircraft, a vessel, any other vehicle or a person.,1,,
IFR Comms,What is the correct way of spelling out HB-JYC in a radio message?,Hotel Bravo India Yankee Charlie,Hotel Bravo Juliett India Kilo,Hotel Bravo Juliett Yankee Charlie,Hotel Bravo India Victor Charlie,3,,
IFR Comms,What shall the pilot's readback be for ""CLIMB FL280""?,Climbing flight level two eight zero.,Climbing flight level two eighty.,Climbing two eighty.,Climbing two eight zero.,1,,
IFR Comms,An aircraft is flying north-east at 2500 feet. TOWER requests the pilot to report heading and level. What is the correct response?,Heading 45 at 2 500 feet.,045 and 2500.,Heading 045 at 2500 feet.,Heading north-east at level 025.,3,,
IFR Comms,What is the correct way of transmitting the number 118.1 to indicate a frequency?,One eighteen one.,One one eight point one.,One one eight one.,One one eight decimal one.,4,,
IFR Comms,During the transmission of numbers containing a decimal point:,the term DECIMAL must always be transmitted.,the term DECIMAL can be omitted with friendly ATS units only.,the term DECIMAL can be omitted if no chance of misunderstanding exists.,the term DECIMAL must be spoken only if followed by three digits.,1,,
IFR Comms,"During radar vectoring, the controller asks the pilot of an aircraft XY-ABC to turn on to heading 360°. The correct readback of this instruction is:","Heading three six zero, X-BC.",There is no need to respond as you have been identified as XYABC.,"Heading three hundred and sixty, X-BC.","Heading north, X-BC.",1,,
IFR Comms,What shall the pilot read back for ATC instruction "CLIMB ALTITUDE 2500 FEET"?,Climbing to two point five.,Climbing to two thousand five hundred.,Climbing altitude two thousand five hundred feet.,Up to two thousand five hundred.,3,,
IFR Comms,What is the correct way of transmitting 1001 as a QNH?,QNH one double O one.,QNH one zero zero one.,QNH one thousand and one.,QNH one double zero one.,2,,
IFR Comms,Regardless of your position, time figures are transmitted with reference to:,Daylight savings time.,UTC,LMT,GMT,2,,
IFR Comms,The time is 9:20 AM. What is the correct way of transmitting this time if there is no possibility of confusion about the hour?,Twenty.,Nine twenty AM.,Two zero this hour.,Two zero.,4,,
IFR Comms,The time is 4:15 PM. What is the correct way of transmitting this time if there is any possibility of confusion about the hour?,Four fifteen in the afternoon.,One six one five.,Four fifteen PM.,Sixteen fifteen.,2,,
IFR Comms,"When transmitting time, which time system shall be used?",Local time (LT) AM and PM.,Co-ordinated universal time (UTC).,"No specific system, as only the minutes are normally required.","Local time (LT), 24-hour clock.",2,,
IFR Comms,What is meant by good microphone technique?,"Use a normal conversation tone, speak clearly and distinctly.",Speak very loudly into the microphone.,Make large use of hesitation sounds as ER.,Keep the microphone far away since it improves the readability.,1,,
IFR Comms,My message will be more effective and understandable if I:,maintain the speaking volume at a constant level.,use the words twice method.,stress every beginning of message.,stress the end of message.,1,,
IFR Comms,Before transmitting the pilot should:,always write the message and read it during the transmission.,make sure that the aircraft is levelled off.,listen out on the frequency to ensure no interference with another station already transmitting will occur.,make sure that the emergency frequency is tuned in at the same time.,3,,
IFR Comms,"In the event that a pilot is required to make a "BLIND" transmission, this should be made:",during VFR flights only.,twice on the designated frequency.,only once on the designated frequency.,on the emergency frequency only.,2,,
IFR Comms,What is the consequence of a microphone button stuck on transmit (switched on)?,None.,Readability will improve for all stations.,The frequency can not be used by others.,Other stations will have to use the WORD TWICE technique.,3,,
IFR Comms,A "BLIND" transmission shall be made:,on regional guard frequencies only.,to all available aeronautical stations.,on the designated frequency (frequency in use).,during IFR flights only.,3,,
IFR Comms,"When an aeronautical station broadcasts information to more than one station, the call starts with:",MESSAGE TO ALL AIRCRAFT ON THIS FREQUENCY.,GENERAL BROADCAST.,PLEASE LISTEN.,ALL STATIONS.,1,,
IFR Comms,What does the word "NEGATIVE" mean?,I say again.,That is not correct.,Annul the previously transmitted clearance.,Consider that transmission as not sent.,2,,
IFR Comms,What does the phrase "BREAK BREAK" mean?,The exchange of transmissions has ended and no response is expected.,My transmission has ended and I expect a response from you.,It indicates the separation between messages transmitted to different aircraft in a very busy environment.,It indicates the separation between portions of a message transmitted to an aircraft station.,3,,
IFR Comms,What does the word "APPROVED" mean?,I repeat for clarity or emphasis.,That is correct.,Permission for proposed action granted.,Authorized to proceed under the conditions specified.,3,,
IFR Comms,Which word or phrase shall be used in order to repeat for clarity or emphasis?,I SAY AGAIN.,VERIFY.,READ BAСК.,CONFIRM.,1,,
IFR Comms,ATC clears FASTAIR 345 to descend from FL100 to FL80. What is the correct read back by the pilot?,"Leaving flight level 100 descending to flight level 80, FASTAIR 345.","Down to flight level 80, FASTAIR 345.","Leaving 100 to 80, FASTAIR 345.","Descending to 80, FASTAIR 345.",1,,
IFR Comms,What does the word "DISREGARD" mean?,An error has been made in this transmission.,Consider that transmission as not sent.,Wait and I will call you.,Annul the previously transmitted clearance.,2,,
IFR Comms,The Air Traffic Control unit has reported "radar contact". What does that mean to the pilot?,Position reports may be omitted.,The aircraft is subject to positive control.,The radar identity of the aircraft has been established.,The pilot does not have to follow up the position of the aircraft,3,,
IFR Comms,Which word or phrase shall be used if you want to say "REDUCE YOUR RATE OF SPEECH"?,SPEAK SLOWER.,SAY AGAIN.,REPEAT.,WORDS TWICE.,1,,
IFR Comms,You are making an approach to land, at what range would you make the call "SHORT FINAL"?,6 NM,4 NM,5 NM,2 NM,4,,
IFR Comms,What does the word "RECLEARED" mean?,Permission for proposed action granted.,A change has been made to your last clearance.,Consider that transmission as not sent.,An error has been made in my last transmission.,2,,
IFR Comms,How shall a pilot inform the control tower that he has to abandon the take-off manoeuvre?,CANCELLING TAKEOFF.,STOPPING.,ABORTING TAKEOFF.,ABANDONING TAKEOFF.,2,,
IFR Comms,What does the word "CANCEL" mean?,Annul the previously transmitted clearance.,Wait and I will call you.,Consider that transmission as not sent.,A change has been made to your last clearance.,1,,
IFR Comms,Which phrase shall be used if you want to say "YES"?,AFFIRM,AFFIRMATIVE,ROGER,YES,1,,
IFR Comms,What does the word "CONTACT" mean?,Establish radio contact with...,Radar contact established.,Listen out on (frequency).,That is correct.,1,,
IFR Comms,What does the word "CORRECT" mean?,Permission for proposed action not granted.,Negative, the correct version is...,That is correct.,An error has been made in this transmission. The correct version is...,3,,
IFR Comms,What does the word "ACKNOWLEDGE" mean?,Let me know that you have received and understood this message.,Repeat all of your last transmission.,Pass me the following information.,Repeat all of this message back to me exactly as received.,1,,
IFR Comms,If you are flying an aircraft with a maximum rate of climb of 1 500 ft per minute and ATC asks you to climb at 2000 ft/min or greater, your answer will be:,...wilco...,...affirm...,...unable...,...no...,3,,
IFR Comms,Which word or phrase shall be used to indicate that a change has been made to your last clearance and this new clearance supersedes your previous clearance or part thereof?,CLEARED.,RECLEARED.,APPROVED.,BREAK BREAK.,2,,
IFR Comms,What does the instruction "FASTAIR 345 STANDBY 118.9 FOR TOWER" mean?,Fastair 345 should contact TOWER on 118.9.,Fastair 345 should listen on frequency 118.9 on which TOWER will initiate further communications.,Fastair 345 should standby on the current frequency.,Fastair 345 should change frequency to 118.9, on which aerodrome data are being broadcast.,2,,
IFR Comms,Which phrase should a pilot use to inform ATC that he is initiating a missed approach procedure?,OVERSHOOTING.,MISSED APPROACH.,GOING AROUND,PULLING UP.,3,,
IFR Comms,Which of these phrases is used if you want to communicate that a message "CONSIDER THAT TRANSMISSION AS NOT SENT"?,CANCELLING MY LAST TRANSMISSION.,FORGET IT.,DISREGARD.,CANCEL MY LAST MESSAGE.,3,,
IFR Comms,Which elements of a position report cannot be omitted?,"Aircraft identification, position, next position.","Aircraft identification, position, level.","Aircraft identification, position, time.","Aircraft identification, position, time, level.",3,,
IFR Comms,What does the word "MONITOR" mean?,Listen out on (frequency).,Examine a system or procedure.,Wait and I will call you.,Establish radio contact with...,1,,
IFR Comms,When shall the phrase "TAKEOFF" be used by a pilot?,To inform TOWER when ready for departure.,Only when the aircraft has already moved onto the active runway,To acknowledge take-off clearance only.,"Never, it is used only by the control tower.",3,,
IFR Comms,"Which word shall be used to ask a station whether you have correctly received a message, clearance, instruction, etc?",CONFIRM.,CORRECТ.,ACKNOWLEDGE.,VERIFY.,1,,
IFR Comms,ATC reports traffic. Which phrase should be used if a pilot wants to inform ATC that he/she does not see the corresponding traffic?,NEGATIVE CONTАСТ,CANNOT SEE TRAFFIC,LOOKING OUT,TRAFFIC IN SIGHТ,1,,
IFR Comms,To indicate that he is no longer occupying the active runway a pilot shall report to the ATC controller.,RUNWAY VACATED.,RUNWAY FREE.,RUNWAY CLEARED.,CLEAR OF RUNWAY.,1,,
IFR Comms,Visibility is poor and an aircraft is flying on an ILS approach. Its position is less than 4 NM from the threshold of runway 24 of Naples airport. Which of the following ATC messages should the pilot expect to hear next?,"FASTBIRD 166, CLEARED TO LAND RUNWAY 24, WIND 270 DEGREES 15 KNOTS.","FASTBIRD 166, ILS APPROACH TO RUNWAY 24, CLEARED TO LAND.","FASTBIRD 166, REPORT RUNWAY 24 IN SIGHT, WIND 270 DEGREES 15 KNOTS.","FASTBIRD 166, REPORT FINAL RUNWAY 24, WIND 360 DEGREES 18 KNOTS.",1,,
IFR Comms,ATC reports traffic. Which phrase should be used if a pilot wants to inform ATC that he/she can see the corresponding traffic?,POSITIVE TRAFFIC,TRAFFIC IN SIGHT,CAN SEE TRAFFIC,LOOKING OUT,2,,
IFR Comms,Which phrase shall be used if you want to say "COMMUNICATION IS DIFFICULT. PLEASE SEND EVERY WORD OR GROUP OF WORD TWICE"?,"SAY AGAIN, SAY AGAIN.",REPEAT TWICE.,WORDS TWICE.,MESSAGE SECOND TIME.,3,,
IFR Comms,"If you are requested to "REPORT FLIGHT CONDITIONS", what does that mean?","Indicate weather conditions as wind, visibility, temperature.","Indicate whether you are flying in IMC or in VMC.","Indicate if visibility is sufficient for landing",Indicate whether you are flying IFR or VFR.,2,,
IFR Comms,Which word or phrase shall be used when giving authorization to proceed under specified conditions?,APPROVED.,CLEARED.,I SAY AGAIN: PROCEED.,GO AHEAD.,2,,
IFR Comms,What is the radiotelephony call sign suffix for the aeronautical station indicating clearance delivery?,RADIO,CLEARANCE DELIVERY,DELIVERY,CLEARANCE,3,,
IFR Comms,What does the word "WILCO" mean?,I have received all of your last transmission.,I read you five.,I will call you later - communication is difficult.,I understand your message and will comply with it.,4,,
IFR Comms,Which word shall be used to indicate that an error has been made in a transmission or message?,CORRECТ.,NEGATIVE.,CORRECTION.,DISREGARD.,3,,
IFR Comms,If ATC asks aircraft D-ENRW to standby, what is the pilot expected to reply, if any?,No reply necessary, ATC will call back,Standing by D-ENRW,Standing by,Standby D-ENRW,1,,
IFR Comms,What does the word "CHECK" mean?,Examine a system or procedure.,Read back my last instruction.,Confirm your last transmission.,I understand your message.,1,,
IFR Comms,What is the radiotelephony call sign for the aeronautical station indicating approach control radar departures?,APPROACH,RADAR,CONTROL,DEPARTURE,4,,
IFR Comms,What is the radiotelephony call sign for the aeronautical station providing surface movement control of aircraft on the manoeuvring area?,RADAR,DELIVERY,GROUND,APPROACH,3,,
IFR Comms,What is the radiotelephony call sign for the aeronautical station providing approach control (no radar service)?,CONTROL,APPROACH,RADAR,ARRIVAL,2,,
IFR Comms,What is the radiotelephony call sign suffix for the aeronautical station indicating aerodrome control service?,TOWER.,AERODROME.,APRON.,CONTROL.,1,,
IFR Comms,What is the radiotelephony call sign for the aeronautical station indicating Area Control Centre (no radar)?,RADAR,CONTROL,CENTRE,APPROACH,2,,
IFR Comms,What is the radiotelephony call sign suffix for the aeronautical station providing radar service (in general)?,RADAR CONTROL,RADAR SERVICE,CONTROL,RADAR,4,,
IFR Comms,What is the radiotelephony call sign for the aeronautical station indicating approach control radar arrivals?,APPROACH,DIRECTOR,ARRIVAL,RADAR,3,,
IFR Comms,An Airbus 321 registered as G-HBTD has call sign "Sun Air HBTD". What is its abbreviated call sign?,Sun Air HВ,Airbus HВ,Airbus TD,Sun Air TD,4,,
IFR Comms,When shall an aircraft in the heavy wake turbulence category include the word HEAVY immediately after its call sign e.g. FASTAIR 345 HEAVY?,in all calls to the aerodrome tower and the approach control unit.,in all calls.,in the initial call to the aerodrome control tower and the approach control unit.,never.,3,,
IFR Comms,When is an aircraft station allowed to use its abbreviated call sign?,In dense traffic.,After it has been addressed in this manner by the aeronautical ground station.,Only after satisfactory communication has been established.,Provided no confusion is likely to result.,2,,
IFR Comms,Which of the following abbreviated call signs of aircraft XYABC is correct?,BC,X-BC,ABC,XY-BC,2,,
IFR Comms,"What, if any, is the abbreviated call sign of "FASTAIR 2345"?",FASTAIR 45.,FASTAIR 345.,2345.,No abbreviated form.,4,,
IFR Comms,"What is the correct call sign of "FASTAIR 345" in the initial call to the aerodrome control tower and the approach control unit, if the aircraft has a maximum take-off weight of 136 tonnes?",FASTAIR 345.,FASTAIR 345 WIDEBODY.,HEAVY FASTAIR 345.,FASTAIR 345 HEAVY.,4,,
IFR Comms,How will an ATS unit instruct Fastair 345 to contact Stephenville RADAR on frequency 132.0083 (8.33 KHz frequency spacing)?,Fastair 345 contact Stephenville RADAR on 132.010.,Fastair 345 contact Stephenville RADAR frequency 132.010.,Fastair 345 contact Stephenville RADAR channel 132.010.,Fastair 345 contact Stephenville RADAR channel 132.0083.,1,,
IFR Comms,Fastair 345 has been instructed to contact Stephenville ARRIVAL on frequency 118.0. What is the correct way to indicate it will follow this instruction?,118.0 FASTAIR 345.,CHANGING TO ARRIVAL FASTAIR 345.,CHANGING OVER FASTAIR 345.,STEPHENVILLE ARRIVAL FASTAIR 345.,1,,
IFR Comms,On the readability scale what does "READABILITY 5" mean?,Problem to understand.,Perfectly readable.,Readable but with difficulty.,Unreadable.,2,,
IFR Comms,On the readability scale what does "READABILITY 1" mean?,Readable.,Readable but with difficulty.,Unreadable.,Perfectly readable.,3,,
IFR Comms,On the readability scale what does "READABILITY 4" mean?,Readable but with difficulty.,Readable.,Readable now and then.,Perfectly readable.,2,,
IFR Comms,On the readability scale what does "READABILITY 3" mean?,Readable.,Perfectly readable.,Readable now and then.,Readable but with difficulty.,4,,
IFR Comms,Select the correct and complete phrase to initiate a readability check:,"ground station identification, aircraft identification, the words "readability check"","aircraft identification, the words "radio check"","aircraft identification, the words "how do you read?"","ground station identification, aircraft identification, the words "radio check", frequency in use",4,,
IFR Comms,On the readability scale what does "READABILITY 2" mean?,Readable now and then.,Readable but with difficulty.,Readable.,Unreadable.,1,,
IFR Comms,"Which of the following has to be read-back?1) Taxi clearances.2) Surface winds XXX at XX kts.3) Climb to XXXX ft.4) Turn right heading XXX.5) Runway XX in use.6) Braking action poor.,""1, 3, 4, 5, 6"",""1, 2, 3, 4, 6"",All of the above.,""1,3,4,5"",4,,
IFR Comms,"Which of the following messages sent by ATC to an aircraft inflight must be read back?1) Descend to (altitude) 3000 feet.2) Wind 240°, 15 knots, gusts 30 knots.3) Turn right heading 210.4) Reduce speed to 160 knots.5) Squawk 1723.6) Braking action poor.,""1,2,3,5"",""1, 3, 4, 5, 6"",""1,3, 4, 5"",""1, 2, 3, 4, 5,6"",3,,
IFR Comms,What is the correct way for the pilot to acknowledge that ATIS Information Golf has been received?,We have the ATIS Golf.,Weather Golf received.,We have the Information.,Information Golf.,4,,
IFR Comms,Must a general call be acknowledged?,No.,"Yes, from all stations in a random sequence.","Yes, from all stations in the sequence they have been addressed.","Yes, but only from the station first called.",1,,
IFR Comms,Which elements of instructions or information shall always be read back?,"QNH, SSR code, approach aid serviceability.","SSR code, QNH, take-off clearance, speed instructions.","ATC clearance, speed instructions, runway state information.","QNH, weather information, runway-in-use.",2,,
IFR Comms,RADAR instructs aircraft X-BC: "X-BC SQUAWK STANDBY". What does this mean?,X-BC is requested to standby for radar vectors.,X-BC is requested to standby as the radar controller is busy.,X-BC is requested to switch to standby position.,X-BC is requested to standby on the frequency.,3,,
IFR Comms,RADAR instructs aircraft X-BC: "X-BC RESET SQUAWK 1015". What does this mean?,X-BC is requested to set new code 1015.,X-BC has been identified at 10:15 (UTC).,X-BC is requested to reselect SSR code 1 015.,X-BC has been identified by SSR code1 015.,3,,
IFR Comms,RADAR informs aircraft X-BC: "X-BC IDENTIFIED". What does this mean?,Radar identification has been achieved.,X-BC should perform an identification turn.,X-BC is not visible on the radar screen.,X-BC should operate the IDENT-button.,1,,
IFR Comms,What does the phrase "SQUAWK 1234" mean?,Make a test transmission on 123.4 MHz.,Standby on frequency 123.4 MHz.,Select code 1 234 on the SSR transponder.,Give a short count for DF (direction finder).,3,,
IFR Comms,What does the instruction "FASTAIR 345, RESET SQUAWK 1240" mean?,RADAR informs Fastair 345 that radar service is terminated at time 1 240.,RADAR instructs Fastair 345 to stop squawk 1 240 immediately.,Fastair 345 is requested to reselect assigned mode and code 1240.,Fastair 345 is requested to set new code 1 240.,3,,
IFR Comms,RADAR instructs aircraft X-BC: "X-BC SQUAWK IDENT". What does this mean?,Radar identification has been achieved by correlating an observed radar blip with aircraft XY-ABС.,X-BC shall reselect his assigned mode and code.,X-BC shall operate the IDENT button.,X-BC should perform an identification turn of at least 020 degrees,3,,
IFR Comms,Which Q-code is used to report altitude?,QNH,QNJ,QFE,QFF,1,,
IFR Comms,If you are requested to report your height. To which Q-code setting would you refer?,QFE,QDM,QBI,QNH,1,,
IFR Comms,A message preceded by the phrase "TRANSMITTING BLIND DUE RECEIVER FAILURE" shall be transmitted:,on the regional guard frequency.,on all available aeronautical stations.,on the international emergency frequency.,on the frequency presently in use.,4,,
IFR Comms,After suffering a radio receiver failure the pilots should make blind transmissions preceded by the phrase "TRANSMITTING BLIND DUE TO RECEIVER FAILURE" and subsequently:,hold for 5 minutes.,enter the next enroute holding pattern encountered.,advise the time of the next intended transmission.,proceed to the pre-planned alternate.,3,,
